NO,시군구,단지명,도로명,위도,경도,bus_count_500m,CCTV_count,school_count,streetlight_count,safety_score_raw,safety_score_normalized,safety_score,동,cluster
1,서울특별시 광진구 화양동,광진청년생활,동일로30길 31,37.54767784,127.0690852,10,208,1,7,0.778165029,0.32311491,66.1557455,화양동,0
5,서울특별시 동대문구 전농동,청량리 창보 리버리치2,왕산로 192,37.57958111,127.0446124,14,220,6,0,0.958029263,0.398260311,69.91301555,전농동,0
9,서울특별시 종로구 숭인동,블루카운티 숭인Ⅰ,종로62길 23,37.57284261,127.0196495,5,256,107,0,1.172307045,0.487783333,74.38916666,숭인동,0
10,서울특별시 종로구 효제동,BS타워,종로35길 12,37.57175793,127.0040863,12,148,1,0,0.726020559,0.301329494,65.06647472,효제동,0
11,서울특별시 성동구 성수동2가,성원상떼뷰오피스텔,아차산로15길 10,37.54369647,127.0625162,6,178,1,0,0.558602636,0.231384033,61.56920164,성수동2가,0
12,서울특별시 용산구 갈월동,갈월동 에이트리움,한강대로 259,37.54151272,126.972453,14,289,6,0,1.08621375,0.451814452,72.59072262,갈월동,0
14,서울특별시 중랑구 망우동,YMS CITY,망우로58길 45,37.5962401,127.0942358,14,265,5,2,1.041158086,0.432990666,71.6495333,망우동,0
15,서울특별시 광진구 구의동,(199-8),아차산로 480,37.54045643,127.0952325,16,65,3,56,0.850646596,0.353396953,67.66984764,구의동,0
16,서울특별시 동대문구 휘경동,회기역 더이스트팰리스,이문로 34,37.59041402,127.0565902,7,309,16,26,0.966710522,0.401887251,70.09436253,휘경동,0
17,서울특별시 성북구 동선동4가,벨라미아 오피스텔,동소문로27길 31,37.59572075,127.019985,6,249,21,0,0.78597279,0.326376911,66.31884555,동선동4가,0
18,서울특별시 동대문구 장안동,공감대6차,답십리로68길 31,37.57119456,127.0697296,2,208,1,0,0.46556815,0.192515195,59.62575973,장안동,0
19,서울특별시 성동구 도선동,한성아펠타워, ,37.56250806,127.034067,6,455,1,24,1.124843363,0.467953502,73.39767509,도선동,0
20,서울특별시 마포구 성산동,벽산상암스마트큐브,월드컵로34길 14,37.56507595,126.9039109,7,132,2,73,0.672198519,0.278843208,63.94216038,성산동,0
21,서울특별시 마포구 성산동,헤리티지 삼영,모래내로1길 8,37.56472675,126.9041619,7,127,3,71,0.663379544,0.275158732,63.75793659,성산동,0
22,서울특별시 강서구 화곡동,포유,화곡로 342,37.55402986,126.8517152,9,150,21,0,0.713631072,0.296153296,45.365365353,화곡동,1
23,서울특별시 서대문구 대현동,신촌푸르지오시티,신촌역로 7,37.55742306,126.9425698,16,301,4,0,1.173343122,0.488216195,74.41080977,대현동,0
24,서울특별시 서대문구 대현동,파크준,이화여대3길 14,37.55808698,126.9449778,12,257,2,0,0.933288401,0.387923837,69.39619185,대현동,0
25,서울특별시 강서구 염창동,팔레시움,공항대로 653-9,37.54780804,126.8775018,6,351,0,85,1.058128715,0.440080818,72.00404088,염창동,0
26,서울특별시 양천구 신정동,동문비젼오피스텔,목동서로 287,37.5215244,126.8690876,13,432,7,19,1.360338897,0.566341079,78.31705397,신정동,0
26,서울특별시 양천구 신정동,동문비젼오피스텔,목동서로 287,37.5215244,126.8690876,13,432,7,19,1.360338897,0.566341079,78.31705397,신정동,0
26,서울특별시 양천구 신정동,동문비젼오피스텔,목동서로 287,37.5215244,126.8690876,13,432,7,19,1.360338897,0.566341079,54.821937779,신정동,1
26,서울특별시 양천구 신정동,동문비젼오피스텔,목동서로 287,37.5215244,126.8690876,13,432,7,19,1.360338897,0.566341079,78.31705397,신정동,0
27,서울특별시 마포구 공덕동,블레스하임 3차,만리재로 90,37.54813028,126.9593345,2,309,8,0,0.686615075,0.284866294,64.24331472,공덕동,0
28,서울특별시 강서구 등촌동,호성스카이오피스텔,양천로 396,37.56577136,126.8455906,12,67,14,0,0.637598732,0.264387777,63.21938886,등촌동,0
29,서울특별시 강서구 등촌동,등촌동 Y HAUS 오피스텔,공항대로59다길 39,37.55337421,126.8658766,10,152,3,0,0.668615125,0.277346103,63.86730515,등촌동,0
30,서울특별시 영등포구 신길동,H.Y. 빌딩,영등포로 363,37.51455752,126.9187877,7,285,16,108,1.098578482,0.456980309,50.994310808,신길동,1
31,서울특별시 영등포구 양평동5가,라이즈,양평로22가길 8,37.53882225,126.8935382,6,146,10,87,0.729329588,0.302711972,45.594919026999996,양평동5가,1
33,서울특별시 강남구 개포동,대청타워,개포로 623,37.49434798,127.0796159,3,172,7,0,0.464522058,0.192078148,41.722735187,개포동,1
34,서울특별시 영등포구 양평동2가,우남프르미아 오피스텔,영등포로 32,37.52280582,126.8848349,4,185,6,15,0.553369114,0.229197522,43.021913256,양평동2가,1
36,서울특별시 서초구 서초동,이즈타워,사임당로 178,37.49213357,127.0291016,23,206,12,0,1.295387331,0.539204993,53.872174748,서초동,1
37,서울특별시 영등포구 당산동,여의도 아리스타,버드나루로 129,37.52964089,126.9072382,9,148,2,140,0.920481616,0.382573296,48.39006534599999,당산동,1
39,서울특별시 서초구 서초동,더 칸톤 서초,효령로55길 10,37.48521056,127.0146552,15,196,1,0,0.926767529,0.385199485,48.481981968,서초동,1
40,서울특별시 영등포구 당산동6가,위더스하임,양평로 4,37.53228696,126.9056503,10,157,1,131,0.950252653,0.395011324,48.825396347,당산동6가,1
41,서울특별시 강동구 명일동,고덕역 효성해링턴 타워 더퍼스트,고덕로 262,37.5546409,127.1546232,4,67,4,0,0.292329901,0.120138061,56.00690306,명일동,0
42,서울특별시 강동구 천호동,다성 이즈빌,성안로27길 57-18,37.53939439,127.132545,9,322,0,0,0.932919731,0.387769811,69.38849053,천호동,0
43,서울특별시 강동구 천호동,천호동 오피스텔,천호대로163길 29-11,37.5383377,127.1308382,12,285,0,0,0.975758277,0.405667308,70.2833654,천호동,0
46,서울특별시 송파구 방이동,한 스위트 올림픽파크,백제고분로51길 9,37.51606212,127.1142911,10,121,0,0,0.596704467,0.24730258,43.655590307,방이동,1
47,서울특별시 송파구 방이동,잠실파크웨이,올림픽로34길 5-23,37.51659865,127.1116685,10,127,0,0,0.607850944,0.251959462,43.818581169999995,방이동,1
48,서울특별시 송파구 방이동,동광팰리스,오금로11길 63-13,37.51549563,127.1145108,10,127,0,0,0.607850944,0.251959462,43.818581169999995,방이동,1
49,서울특별시 강동구 길동,거산 유팰리스,천호대로 1131,37.53478096,127.1372341,13,248,0,0,0.944213386,0.392488182,69.62440908,길동,0
50,서울특별시 송파구 방이동,잠실 벨솔레 오피스텔,올림픽로34길 5-13,37.51628693,127.1111663,11,127,0,0,0.645042662,0.267497774,44.362422083,방이동,1
