연번,시도청,경찰서,관서명,구분,전화번호,도로명 주소,위도,경도,동
1,서울청,서울중부,을지,지구대,02-2279-1908,서울특별시 중구  을지로 234,37.5664734170529,127.003943654119,을지로5가
2,서울청,서울중부,광희,지구대,02-2233-1444,서울특별시 중구  퇴계로 375-1,37.5652684538307,127.013376356837,신당동
3,서울청,서울중부,약수,지구대,02-2234-8112,"서울특별시 중구  동호로 5길 15, 약수지구대",37.5521442775352,127.0123820902,신당동
4,서울청,서울중부,신당,파출소,02-2252-0435,"서울특별시 중구  다산로 248 (신당동, 신당파출소)",37.5650442671787,127.01638496365,신당동
5,서울청,서울중부,장충,파출소,02-2274-9003,서울특별시 중구  동호로 261,37.5587633776035,127.004802045236,장충동2가
6,서울청,서울중부,충무,파출소,02-2278-7710,서울특별시 중구  퇴계로 178,37.5608715980974,126.991580763073,필동1가
7,서울청,서울중부,을지로3가,파출소,02-2266-2404,서울특별시 중구 충무로56-1,37.5661815238113,126.992848341729,을지로3가
8,서울청,서울종로,종로2가,지구대,02-3701-4301,서울특별시 종로구  종로17길 4 ,37.5705022157858,126.988922852655,종로2가
9,서울청,서울종로,관수,파출소,02-3701-4302,서울특별시 종로구 삼일대로15길 19 1층(임시파출소),37.5686968013869,126.986345479877,관철동
10,서울청,서울종로,세검정,파출소,02-3701-4507,서울특별시 종로구  세검정로 226 ,37.6000216905431,126.958463372948,홍지동
11,서울청,서울종로,평창,파출소,02-3701-4308,서울특별시 종로구  평창문화로 46,37.6052486740828,126.966627287785,평창동
12,서울청,서울종로,삼청,파출소,02-3701-4303,서울특별시 종로구  삼청로 66,37.5814096566494,126.981122583707,소격동
13,서울청,서울종로,통의,파출소,02-3701-4304,서울특별시 종로구  효자로 9,37.576770888086,126.974006743819,통의동
14,서울청,서울종로,청운,파출소,02-3701-4305,서울특별시 종로구  자하문로 92-1,37.5842278806099,126.970583868348,궁정동
15,서울청,서울종로,옥인,파출소,02-3701-4506,서울특별시 종로구  자하문로17길 24,37.5814734297903,126.96942633294,옥인동
16,서울청,서울종로,교남,파출소,02-3701-4310,서울특별시 종로구  송월길 152,37.571813578256,126.962199186657,행촌동
17,서울청,서울종로,세종로,파출소,02-3701-4312,서울특별시 중구  세종대로 141,37.5689472465748,126.976429659029,태평로1가
18,서울청,서울종로,신문로,파출소,02-3701-4311,서울특별시 종로구  경희궁길 6-3,37.5707552628269,126.972233913231,신문로1가
19,서울청,서울종로,사직,파출소,02-3701-4309,서울특별시 종로구  사직로9가길 6 1층(임시파출소),37.5765653446751,126.969040837991,필운동
20,서울청,서울종로,청진,파출소,02-3701-4313,서울특별시 종로구 우정국로 45-3 1층(임시파출소),37.5729712701818,126.982661854905,견지동
21,서울청,서울남대문,태평로,파출소,02-2096-8471,서울특별시 중구  다동길 11,37.5680079853085,126.979991439354,다동
22,서울청,서울남대문,서울역,파출소,02-2096-8472,서울특별시 중구  통일로 13,37.5568085815143,126.971566147912,봉래동2가
23,서울청,서울남대문,명동,파출소,02-2096-8473,서울특별시 중구  명동길 30 명동파출소,37.5635895671109,126.983968494252,명동2가
24,서울청,서울남대문,남대문,파출소,02-2096-8474,서울특별시 중구  남대문시장4길 28-16,37.5590136645085,126.97639193096,남창동
25,서울청,서울남대문,중림,파출소,02-2096-8475,서울특별시 중구  중림로 36,37.5578893434364,126.967115615717,중림동
26,서울청,서울남대문,회현,파출소,02-2096-8476,서울특별시 중구  퇴계로6길 3-15,37.5584412507708,126.978707165189,회현동1가
27,서울청,서울남대문,서소문,파출소,02-2096-8477,서울특별시 중구  서소문로 131-1 서소문파출소,37.5638265102548,126.975466927468,서소문동
28,서울청,서울서대문,충정로,지구대,02-335-8301,서울특별시 서대문구  독립문로 25-1,37.5698843736468,126.961109299589,옥천동
29,서울청,서울서대문,신촌,지구대,02-335-8302,서울특별시 서대문구  신촌역로 22,37.5585525829582,126.943009871743,대현동
30,서울청,서울서대문,홍은,파출소,02-335-8303,서울특별시 서대문구 세검정로1길 112,37.5952477134009,126.946423973198,홍은동
31,서울청,서울서대문,연희,파출소,02-335-8304,서울특별시 서대문구  연희로25길 73,37.5702755077088,126.932849090842,연희동
32,서울청,서울서대문,남가좌,파출소,02-335-8305,서울특별시 서대문구  가재울로4길 51,37.5760408583713,126.924038302317,남가좌동
33,서울청,서울서대문,북가좌,파출소,02-335-8306,서울특별시 서대문구  응암로1길 13,37.5813233182072,126.910566763346,북가좌동
34,서울청,서울서대문,홍제,파출소,02-335-8307,서울특별시 서대문구  통일로 441-1,37.5881707286561,126.944553282812,홍제동
35,서울청,서울서대문,홍은2,파출소,02-335-8308,서울특별시 서대문구  연희로 298,37.5836053290869,126.936211181249,홍은동
36,서울청,서울혜화,혜화,파출소,02-762-0811,서울특별시 종로구  창경궁로 279 ,37.5861083962149,127.001407548091,혜화동
37,서울청,서울혜화,대학로,파출소,02-763-1230,서울특별시 종로구  이화장2길 33,37.578611713366,127.006045329114,동숭동
38,서울청,서울혜화,명륜,파출소,02-762-1120,서울특별시 종로구  성균관로 78,37.5892784329492,126.99759929956,명륜1가
39,서울청,서울혜화,창신,파출소,02-763-4200,서울특별시 종로구  지봉로13길 20-12,37.5784936918859,127.013541968647,창신동
40,서울청,서울혜화,동묘,파출소,02-2252-0547,서울특별시 종로구  종로58가길 19 동묘파출소,37.5726963187211,127.017117455617,숭인동
41,서울청,서울혜화,덕산,파출소,02-763-6843,서울특별시 종로구  창신길 98,37.5759851806728,127.010526201078,창신동
42,서울청,서울혜화,종로5가,파출소,02-2267-2287,서울특별시 종로구  동호로 407,37.5707367126759,127.0016317274,종로5가
43,서울청,서울혜화,효제,파출소,02-762-8485,서울특별시 종로구  종로41나길 24-6,37.5729430706406,127.004866460652,종로6가
44,서울청,서울용산,원효,지구대,02-2198-0191,서울특별시 용산구  백범로 329,37.5389037956572,126.965012154483,원효로1가
45,서울청,서울용산,용중,지구대,02-2198-0117,"서울특별시 용산구  후암로16나길 17, 용중지구대",37.549159039208,126.978479404326,후암동
46,서울청,서울용산,이태원,파출소,02-2198-0125,서울특별시 용산구  이태원로 184,37.5343148256842,126.994425069817,이태원동
47,서울청,서울용산,한남,파출소,02-2198-0136,"서울특별시 용산구  대사관로34길 53, 한남파출소",37.5310848781248,127.006342547451,한남동
48,서울청,서울용산,보광,파출소,02-2198-0143,"서울특별시 용산구  보광로 25-1, 보광파출소",37.5265772465655,127.000208837482,보광동
49,서울청,서울용산,삼각지,파출소,02-2198-0152,서울특별시 용산구  한강대로198-2,37.5361101058592,126.974708440403,한강로1가
50,서울청,서울용산,한강로,지구대,02-2198-0158,서울특별시 용산구  서빙고로67,37.5248628078572,126.970412727842,용산동5가
51,서울청,서울성북,돈암,지구대,02-920-1810,서울특별시 성북구  아리랑로5길 54,37.597322581692,127.012403387654,돈암동
52,서울청,서울성북,안암,지구대,02-920-1820,서울특별시 성북구  지봉로21길 45,37.5867215345551,127.016598379745,보문동3가
53,서울청,서울성북,길음,지구대,02-920-1830,서울특별시 성북구  삼양로13길 51 길음지구대,37.6106064012716,127.019265676419,길음동
54,서울청,서울성북,정릉,파출소,02-920-1840,서울특별시 성북구  솔샘로 111,37.6160729681366,127.008602830264,정릉동
55,서울청,서울성북,정릉2,파출소,02-920-1850,서울특별시 성북구  정릉로26길 6 정릉2파출소,37.6045609452845,127.010720369254,정릉동
56,서울청,서울성북,성북,파출소,02-920-1860,서울특별시 성북구  성북로 94  성북파출소,37.5932727259297,126.998471952841,성북동
57,서울청,서울동대문,답십리,지구대,02-961-4301,서울시 동대문구 사가정로 2길 9,37.5712942968163,127.051067616943,답십리동
58,서울청,서울동대문,용신,지구대,02-961-4302,서울특별시 동대문구  청계천로549,37.5728434233834,127.037208959975,용두동
59,서울청,서울동대문,청량리,파출소,02-961-4303,서울특별시 동대문구 약령시로21길 15,37.584106726199,127.045272425948,청량리동
60,서울청,서울동대문,제기,파출소,02-961-4304,서울특별시 동대문구 약령시로 17길 59-11,37.5855626699461,127.042026415272,제기동
61,서울청,서울동대문,전농1,파출소,02-961-4305,서울특별시 동대문구 서울시립대로 56,37.5761294460211,127.047938093483,전농동
62,서울청,서울동대문,전농2,파출소,02-961-4306,서울특별시 동대문구 전농로38다길 21,37.5863730931314,127.054229172919,전농동
63,서울청,서울동대문,장안1,파출소,02-961-4307,서울특별시 동대문구 한천로20길 9,37.5696342993256,127.065004726024,장안동
64,서울청,서울동대문,장안2,파출소,02-961-4308,서울특별시 동대문구  답십리로 69길 100,37.5767936401153,127.074403847227,장안동
65,서울청,서울동대문,이문,지구대,02-961-4309,서울특별시 동대문구  한천로 402,37.5964838564998,127.068115327653,이문동
66,서울청,서울동대문,휘경,파출소,02-961-4310,서울특별시 동대문구  한천로 266,37.5846745156333,127.068023841813,휘경동
67,서울청,서울동대문,회기,파출소,02-961-4311,서울특별시 동대문구  회기로18길 2,37.5910847312738,127.05184927022,회기동
68,서울청,서울마포,서강,지구대,02-334-4975,"서울특별시 마포구  독막로22길 8(창전동, 서강지구대)",37.5473472146038,126.929311426746,창전동
69,서울청,서울마포,공덕,지구대,02-703-0492,서울특별시 마포구 마포대로 195-1,37.5518094602317,126.954039818166,아현동
70,서울청,서울마포,월드컵,지구대,02-373-1113,서울특별시 마포구  월드컵북로 30길 24,37.5687316891162,126.909082347349,성산동
71,서울청,서울마포,홍익,지구대,02-334-8150,서울특별시 마포구  양화로11길 63,37.5518763429182,126.913462507314,서교동
72,서울청,서울마포,용강,지구대,02-716-6391,서울특별시 마포구 토정로31길 35,37.5425613405773,126.943083375629,용강동
73,서울청,서울마포,상암,파출소,02-309-9525,서울특별시 마포구  매봉산로 76,37.5782806848788,126.893844619605,상암동
74,서울청,서울마포,망원,파출소,02-337-5908,서울특별시 마포구  망원로2길 63,37.554339428821,126.902733477039,망원동
75,서울청,서울마포,연남,파출소,02-334-4974,서울특별시 마포구  연남로 4,37.5603356081643,126.923762130152,연남동
76,서울청,서울영등포,중앙,지구대,02-2118-9101,서울특별시 영등포구  영등포로46길 14,37.5180106135789,126.907513795007,영등포동3가
77,서울청,서울영등포,여의도,지구대,02-2118-9102,서울특별시 영등포구  여의공원로 120 여의도지구대,37.5296207835407,126.926691111146,여의도동
78,서울청,서울영등포,문래,지구대,02-2118-9103,서울특별시 영등포구  경인로 759,37.5135821557429,126.897650067059,문래동3가
79,서울청,서울영등포,신풍,지구대,02-2118-9104,서울특별시 영등포구 대방천로 195(신길동 3741-23),37.4990895649306,126.912786804025,신길동
80,서울청,서울영등포,신길,지구대,02-2118-9105,서울특별시 영등포구 노량진로 11,37.5129721223424,126.926507760525,신길동
81,서울청,서울영등포,양평,파출소,02-2118-9106,서울특별시 영등포구  선유로 95,37.522723047751,126.889684521673,양평동1가
82,서울청,서울영등포,당산,지구대,02-2118-9107,서울특별시 영등포구  당산로 221,37.5336156813601,126.901263890593,당산동5가
83,서울청,서울영등포,대림,지구대,02-2118-9108,서울특별시 영등포구  대림로23길 16-1,37.4934305498189,126.898702865566,대림동
84,서울청,서울영등포,대림3,파출소,02-2118-9109,서울특별시 영등포구 가마산로 334,37.4989872492477,126.896637722866,대림동
85,서울청,서울영등포,영등포역,파출소,02-2118-9110,서울특별시 영등포구 영신로20길 11,37.5154533392517,126.908844330818,영등포동
86,서울청,서울성동,한양,지구대,02-2292-5975,서울특별시 성동구  사근동길 5,37.5603019185024,127.041794349813,행당동
87,서울청,서울성동,성수,지구대,02-463-0112,서울특별시 성동구  광나루로2길 35 성수지구대,37.5482232014778,127.055245559476,성수동2가
88,서울청,서울성동,서울숲,지구대,02-464-0113,서울특별시 성동구  성덕정길 77-2,37.5380574969255,127.052273266357,성수동2가
89,서울청,서울성동,왕십리,파출소,02-2295-1241,서울특별시 성동구  마장로 205,37.5666688968744,127.032658353836,홍익동
90,서울청,서울성동,행당,파출소,02-2292-1812,서울특별시 성동구  행당로 89,37.5574289059055,127.028855896061,행당동
91,서울청,서울성동,옥수,파출소,02-2297-5898,서울특별시 성동구  독서당로 211,37.5438389184568,127.014348948586,옥수동
92,서울청,서울성동,금호,파출소,02-2231-6253,서울특별시 성동구  금호로11길 2-1,37.5547388017359,127.019618302754,금호동2가
93,서울청,서울성동,응봉,파출소,02-2293-7480,서울특별시 성동구  독서당로 373 응봉파출소,37.5497977040106,127.030020362088,응봉동
94,서울청,서울성동,용답,파출소,02-2245-0189,서울특별시 성동구  용답중앙길 49 용답파출소,37.5647821400746,127.051758708211,용답동
95,서울청,서울동작,사당,지구대,02-811-9853,서울특별시 동작구  동작대로9길 35,37.480543999454,126.979530207922,사당동
96,서울청,서울동작,노량진,지구대,02-811-9813,서울특별시 동작구  등용로12나길 2,37.5111477441801,126.933297744002,대방동
97,서울청,서울동작,상도,지구대,02-811-9833,서울특별시 동작구  등용로 24 ,37.5059329821861,126.936202457013,상도동
98,서울청,서울동작,남성,지구대,02-811-9843,서울특별시 동작구 사당로17나길 4,37.4841180387831,126.973255444645,사당동
99,서울청,서울동작,흑석,지구대,02-811-9823,서울특별시 동작구 흑석로13길 13,37.5093773967216,126.960145626416,흑석동
100,서울청,서울동작,신대방,지구대,02-811-9863,서울특별시 동작구 신대방1다길 24,37.4866458271285,126.905947114843,신대방동
101,서울청,서울동작,대방,파출소,02-811-9873,서울특별시 동작구 여의대방로 130,37.4985652656913,126.920574048532,대방동
102,서울청,서울광진,광나루,지구대,02-2285-7820,서울특별시 광진구 아차산로 567,37.5444546646191,127.103316501535,광장동
103,서울청,서울광진,화양,지구대,02-2285-7810,서울특별시 광진구  능동로17길 39 화양지구대,37.5465267774587,127.071267629589,화양동
104,서울청,서울광진,중곡1,파출소,02-2285-7830,서울특별시 광진구 능동로 385,37.5637201146154,127.082788101087,중곡동
105,서울청,서울광진,중곡2,파출소,02-2285-7840,서울특별시 광진구  능동로 346,37.5601504693098,127.081475106274,중곡동
106,서울청,서울광진,중곡3,파출소,02-2285-7850,서울특별시 광진구 동일로76가길 28,37.5688068928836,127.080138097194,중곡동
107,서울청,서울광진,중곡4,파출소,02-2285-7860,서울특별시 광진구  용마산로24길 7,37.5653510301975,127.087260504516,중곡동
108,서울청,서울광진,자양,파출소,02-2285-7870,서울특별시 광진구 뚝섬로36길 9,37.5338510333592,127.071612524754,자양동
109,서울청,서울광진,자양1,파출소,02-2285-7880,서울특별시 광진구  자양번영로 80,37.5366207935691,127.076922346899,자양동
110,서울청,서울광진,자양4,파출소,02-2285-7890,서울특별시 광진구  뚝섬로22가길 43번지 자양4파출소,37.5351870096292,127.063635996316,자양동
111,서울청,서울광진,구의,파출소,02-2285-7800,서울특별시 광진구 광나루로 43길 26 구의파출소,37.5458954287516,127.091667652198,구의동
112,서울청,서울서부,응암,지구대,02-335-9800,서울특별시 은평구  은평로 171,37.6016345299694,126.926445885297,응암동
113,서울청,서울서부,신사,지구대,02-335-9810,서울특별시 은평구  은평터널로5길 6호,37.5917796902503,126.90535752555,신사동
