NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
1,서울특별시 성동구 마장동,784,784,0,세림,전세,40.86,202412,27,"28,000",0,4,1986,마장로42길 16,202502~202702,신규,-,,,아파트
2,서울특별시 성동구 하왕십리동,966-18,966,18,상리제나우스,월세,12.84,202412,27,"7,000",45,6,2013,무학봉28길 5,202502~202702,신규,-,,,아파트
3,서울특별시 성동구 마장동,818,818,0,현대,전세,84.91,202412,27,"63,000",0,7,1998,살곶이길 50,202501~202601,갱신,-,"63,000",0,아파트
4,서울특별시 용산구 이태원동,729,729,0,남산대림,월세,84.75,202412,27,"35,000",140,2,1994,녹사평대로 254,202502~202702,신규,-,,,아파트
5,서울특별시 종로구 숭인동,317-39,317,39,COZY빌딩,월세,15.306,202412,27,"2,000",60,6,2013,종로56길 42-8,202412~202512,신규,-,,,아파트
6,서울특별시 종로구 창신동,702,702,0,창신쌍용1,전세,54.7,202412,27,"36,000",0,5,1992,동망산길 19,202501~202701,신규,-,,,아파트
7,서울특별시 중구 중림동,200,200,0,삼성사이버빌리지,월세,59.93,202412,27,"55,000",10,7,2001,중림로 10,202412~202612,갱신,사용,"55,000",0,아파트
8,서울특별시 성동구 상왕십리동,811,811,0,텐즈힐(2단지),전세,84.93,202412,27,"100,000",0,13,2014,마장로 137,202502~202702,신규,-,,,아파트
9,서울특별시 종로구 충신동,60,60,0,힐스테이트창경궁,전세,63.09,202412,27,"52,400",0,14,2022,율곡로 236,202502~202702,갱신,사용,"50,000",0,아파트
10,서울특별시 용산구 한강로3가,98,98,0,센트럴파크,월세,40.6709,202412,27,"15,128",37,5,2020,서빙고로 17,-,신규,-,,,아파트
11,서울특별시 성동구 하왕십리동,1061,1061,0,왕십리풍림아이원,전세,84.417,202412,27,"63,000",0,15,2004,난계로 84,202503~202703,신규,-,,,아파트
12,서울특별시 용산구 이촌동,300-23,300,23,한강맨숀,전세,101.95,202412,27,"46,000",0,2,1971,이촌로 248,202412~202512,갱신,-,"46,000",0,아파트
13,서울특별시 용산구 이촌동,404,404,0,한가람,월세,59.88,202412,27,"40,000",110,22,1998,이촌로65가길 23,202402~202602,신규,-,,,아파트
14,서울특별시 종로구 홍파동,199,199,0,경희궁자이(2단지),전세,84.8359,202412,27,"125,000",0,4,2017,송월길 99,202502~202702,신규,-,,,아파트
15,서울특별시 성동구 행당동,347,347,0,대림e-편한세상,전세,59.96,202412,27,"54,500",0,14,2000,행당로 79,202502~202702,신규,-,,,아파트
16,서울특별시 성동구 금호동3가,1331,1331,0,두산,월세,116.81,202412,27,"30,000",111,12,1994,동호로 100,202502~202602,갱신,사용,"30,000",100,아파트
17,서울특별시 성동구 응봉동,100,100,0,대림(1차),전세,75.51,202412,27,"44,000",0,11,1986,독서당로62길 43,202502~202602,갱신,사용,"43,000",0,아파트
18,서울특별시 동대문구 전농동,597-5,597,5,리베르떼,월세,27.23,202412,27,"22,000",30,10,2019,왕산로 250,202502~202702,신규,-,,,아파트
19,서울특별시 성동구 행당동,346,346,0,행당한진타운,전세,114.62,202412,27,"73,000",0,22,2000,행당로 82,202501~202701,신규,-,,,아파트
20,서울특별시 성동구 금호동4가,1250,1250,0,롯데,전세,84.99,202412,27,"65,000",0,18,2003,동호로 84,202502~202702,신규,-,,,아파트
21,서울특별시 광진구 구의동,668,668,0,래미안파크스위트,전세,75.71,202412,27,"70,000",0,2,2018,광나루로 545,202501~202701,갱신,사용,"67,000",0,아파트
22,서울특별시 광진구 구의동,660,660,0,구의동현진에버빌,전세,84.997,202412,27,"52,500",0,3,2006,광나루로46길 21,202412~202612,갱신,-,"52,500",0,아파트
23,서울특별시 광진구 구의동,593-11,593,11,비바힐스강변,월세,15.87,202412,27,"5,500",52,14,2021,구의강변로 51,202501~202701,신규,-,,,아파트
24,서울특별시 광진구 화양동,111-89,111,89,위너스힐(111-89),월세,27.199,202412,27,"5,000",100,7,2021,광나루로20길 34,202501~202701,신규,-,,,아파트
25,서울특별시 동대문구 제기동,153,153,0,안암골벽산,전세,116.69,202412,27,"57,700",0,4,2003,약령시로 25,202502~202702,갱신,사용,"55,000",0,아파트
26,서울특별시 도봉구 창동,824,824,0,창동한승미메이드,전세,84.6865,202412,27,"36,000",0,15,2004,덕릉로60길 164-13,202402~202602,신규,-,,,아파트
27,서울특별시 도봉구 방학동,705-17,705,17,퍼스티안,월세,13.6794,202412,27,"1,000",48,5,2013,도봉로150가길 27,202501~202701,갱신,-,"1,000",45,아파트
28,서울특별시 도봉구 창동,38,38,0,주공17단지,전세,36.16,202412,27,"14,000",0,12,1989,덕릉로66길 17,202502~202702,신규,-,,,아파트
29,서울특별시 성북구 장위동,323,323,0,꿈의숲아이파크,전세,59.1,202412,27,"52,500",0,12,2022,돌곶이로40길 46,202501~202701,갱신,사용,"50,000",0,아파트
30,서울특별시 성북구 하월곡동,88-510,88,510,삼전솔하임3차,월세,15.62,202412,27,"1,000",65,14,2013,동소문로46길 18,202502~202702,갱신,-,"1,000",60,아파트
31,서울특별시 강북구 미아동,1357-2,1357,2,삼각산아이원(임대),월세,24.053,202412,27,"3,237",5,16,2003,삼양로19길 113,-,신규,-,,,아파트
32,서울특별시 성북구 길음동,1289,1289,0,롯데캐슬클라시아,전세,59.8745,202412,27,"66,000",0,13,2022,숭인로8길 80,202502~202702,신규,-,,,아파트
33,서울특별시 강북구 번동,446-36,446,36,유경와이케이라이마,월세,23.16,202412,27,"20,000",4,11,2021,오패산로77길 16,202501~202701,갱신,-,"20,000",0,아파트
34,서울특별시 양천구 목동,912,912,0,목동신시가지5,전세,93.18,202412,27,"91,000",0,1,1986,목동동로 350,202412~202612,갱신,사용,"88,000",0,아파트
35,서울특별시 마포구 상암동,1752,1752,0,상암월드컵파크9단지,월세,49.71,202412,27,"5,166",30,2,2010,월드컵북로 501,-,신규,-,,,아파트
36,서울특별시 양천구 목동,965,965,0,목동롯데캐슬마에스트로,전세,59.984,202412,27,"52,500",0,13,2019,목동중앙북로8길 71,202412~202612,갱신,-,"52,500",0,아파트
37,서울특별시 양천구 목동,902,902,0,목동신시가지2,전세,95.67,202412,27,"83,000",0,11,1986,목동서로 70,202501~202701,갱신,사용,"80,000",0,아파트
39,서울특별시 마포구 성산동,446,446,0,성산시영(유원),전세,59.43,202412,27,"36,000",0,12,1986,월드컵북로 235,202502~202702,갱신,-,"33,000",0,아파트
40,서울특별시 양천구 목동,803-2,803,2,엘리온,전세,64.432,202412,27,"48,000",0,7,2011,목동중앙서로8길 29,202502~202702,갱신,-,"47,000",0,아파트
41,서울특별시 마포구 상암동,1741,1741,0,상암월드컵파크11단지,월세,49.71,202412,27,"4,562",32,2,2010,월드컵북로 502-37,-,신규,-,,,아파트
42,서울특별시 양천구 목동,901,901,0,목동신시가지1,전세,99.15,202412,27,"89,250",0,4,1985,목동서로 38,202412~202612,갱신,사용,"85,000",0,아파트
43,서울특별시 강동구 명일동,332,332,0,명일지에스아파트,월세,84.9,202412,27,"50,000",20,6,1999,상암로51길 61,202502~202702,갱신,-,"50,000",20,아파트
44,서울특별시 강동구 명일동,257,257,0,고덕주공9,전세,83.52,202412,27,"37,500",0,15,1985,상암로 251,202501~202701,갱신,-,"36,000",0,아파트
45,서울특별시 송파구 가락동,140,140,0,가락(1차)쌍용아파트,전세,59.92,202412,27,"51,000",0,5,1997,동남로 193,202502~202702,신규,-,,,아파트
46,서울특별시 송파구 가락동,913,913,0,헬리오시티,월세,84.99,202412,27,"10,000",250,28,2018,송파대로 345,202412~202503,신규,-,,,아파트
47,서울특별시 송파구 가락동,Jan-95,95,1,가락금호아파트,전세,85.0,202412,27,"65,000",0,2,1997,송파대로32길 15,202412~202609,신규,-,,,아파트
48,서울특별시 송파구 거여동,696,696,0,e편한세상송파파크센트럴,전세,59.96,202412,27,"53,000",0,22,2021,오금로 551,202501~202701,갱신,사용,"50,500",0,아파트
51,서울특별시 송파구 문정동,1,1,0,문정래미안,전세,120.97,202412,27,"85,000",0,12,2004,문정로 83,202503~202703,신규,-,,,아파트
52,서울특별시 송파구 장지동,845,845,0,송파파인타운5단지,전세,84.98,202412,27,"65,000",0,3,2008,충민로4길 5,202502~202702,신규,-,,,아파트
53,서울특별시 강동구 명일동,15,15,0,삼익그린2차,전세,54.81,202412,27,"33,000",0,10,1984,고덕로 210,202502~202702,신규,-,,,아파트
54,서울특별시 강동구 상일동,521,521,0,고덕자이,전세,74.3069,202412,27,"67,000",0,15,2021,상일로 55,202501~202701,갱신,-,"67,000",0,아파트
55,서울특별시 강동구 성내동,443-21,443,21,갑지하이린,전세,124.78,202412,27,"50,500",0,3,2001,강동대로53길 32,202412~202612,갱신,-,"49,200",0,아파트
56,서울특별시 강동구 상일동,490,490,0,고덕리엔파크3단지,월세,59.94,202412,27,"8,567",15,4,2011,상일로 74,-,신규,-,,,아파트
58,서울특별시 강동구 강일동,695,695,0,강일리버파크10단지,전세,59.92,202412,27,"16,827",0,13,2009,고덕로97길 20,202412~202612,갱신,-,"16,026",0,아파트
59,서울특별시 강동구 성내동,196-8,196,8,코오롱(1차),월세,59.96,202412,27,"15,000",130,8,1999,천호대로168길 25,202502~202702,신규,-,,,아파트
61,서울특별시 강동구 상일동,519,519,0,고덕아르테온,전세,84.97,202412,27,"71,400",0,3,2020,고덕로 360,202412~202706,갱신,사용,"68,000",0,아파트
62,서울특별시 강서구 가양동,1475,1475,0,강변,월세,39.6,202412,27,"17,000",30,1,1992,허준로 139,202502~202702,신규,-,,,아파트
63,서울특별시 강서구 염창동,307,307,0,이너스내안에,전세,84.94,202412,27,"60,000",0,10,2011,양천로67가길 56,202412~202502,신규,-,,,아파트
64,서울특별시 강서구 화곡동,1173,1173,0,우장산숲아이파크,전세,59.9983,202412,27,"47,250",0,14,2022,화곡로31다길 20,202501~202601,갱신,사용,"45,000",0,아파트
65,서울특별시 양천구 신월동,1076,1076,0,목동센트럴아이파크위브2단지,월세,59.88,202412,27,"30,000",50,9,2020,남부순환로83길 18,202501~202601,갱신,사용,"30,000",50,아파트
66,서울특별시 강서구 마곡동,743,743,0,마곡엠밸리6단지,전세,84.84,202412,27,"74,000",0,7,2014,마곡서1로 100,202501~202701,신규,-,,,아파트
67,서울특별시 강서구 마곡동,751,751,0,마곡엠벨리(15단지),월세,49.87,202412,27,"5,408",37,6,2014,마곡중앙로 36,-,신규,-,,,아파트
68,서울특별시 강서구 등촌동,648-5,648,5,아임2030등촌역,월세,15.17,202412,27,"4,600",29,4,2020,공항대로59가길 14,202502~202702,신규,-,,,아파트
69,서울특별시 강서구 등촌동,676,676,0,태진아름,전세,59.94,202412,27,"40,000",0,4,1995,등촌로53길 39,202501~202701,갱신,-,"37,000",0,아파트
70,서울특별시 강서구 등촌동,688,688,0,주공3,전세,58.14,202412,27,"40,000",0,8,1995,강서로56나길 37,202501~202701,갱신,-,"32,000",0,아파트
71,서울특별시 강서구 가양동,1459,1459,0,동신대아,전세,101.97,202412,27,"52,500",0,9,1993,강서로 532,202501~202701,갱신,사용,"50,000",0,아파트
73,서울특별시 강서구 등촌동,690,690,0,등촌4단지주공영구임대,월세,26.37,202412,27,"1,809",16,8,1995,공항대로39길 59,202501~202612,갱신,-,"1,726",15,아파트
74,서울특별시 노원구 상계동,691,691,0,상계주공7(고층),전세,41.3,202412,27,"19,950",0,12,1988,동일로 1456,202412~202702,갱신,-,"19,000",0,아파트
75,서울특별시 노원구 상계동,765,765,0,상계주공1(고층),전세,32.39,202412,27,"18,500",0,7,1988,동일로213길 21,202502~202702,신규,-,,,아파트
76,서울특별시 노원구 상계동,720,720,0,상계주공6(고층),월세,58.01,202412,27,"1,000",83,6,1988,노해로 508,202412~202612,갱신,-,"1,000",80,아파트
77,서울특별시 노원구 하계동,271-3,271,3,극동,월세,70.56,202412,27,"20,000",70,3,1988,섬밭로 229,202502~202702,신규,-,,,아파트
78,서울특별시 노원구 월계동,556,556,0,주공2,전세,38.64,202412,27,"15,000",0,10,1992,초안산로1길 18,202501~202701,갱신,사용,"14,300",0,아파트
79,서울특별시 노원구 하계동,255-1,255,1,삼익선경,전세,107.95,202412,27,"67,500",0,5,1993,노원로 214,202412~202702,갱신,-,"67,500",0,아파트
80,서울특별시 노원구 상계동,680,680,0,포레나노원,전세,84.9728,202412,27,"72,000",0,5,2020,노원로38길 76,202412~202612,갱신,-,"60,000",0,아파트
81,서울특별시 노원구 공릉동,617-3,617,3,태릉입구역청년주택YNTOWER,월세,16.3,202412,27,"5,400",41,12,2021,동일로 1000,202502~202702,신규,-,,,아파트
82,서울특별시 노원구 상계동,639,639,0,보람아파트,월세,54.59,202412,27,"3,000",92,4,1988,한글비석로 479,202502~202702,신규,-,,,아파트
83,서울특별시 노원구 공릉동,707,707,0,시영2단지(라이프)아파트,전세,39.6,202412,27,"23,000",0,8,1994,동일로198가길 149,202502~202702,신규,-,,,아파트
84,서울특별시 노원구 공릉동,738,738,0,공릉우성아파트,전세,84.97,202412,27,"32,000",0,7,1995,동일로198길 24,202502~202702,갱신,-,"24,000",0,아파트
85,서울특별시 노원구 월계동,13,13,0,미륭,전세,51.48,202412,27,"22,000",0,14,1986,마들로 111,202503~202703,신규,-,,,아파트
86,서울특별시 강서구 방화동,875,875,0,방화동동부센트레빌(875번지),전세,114.99,202412,27,"65,500",0,2,2003,방화대로45길 32,202503~202703,신규,-,,,아파트
87,서울특별시 구로구 오류동,357,357,0,오류동행복주택,월세,16.84,202412,27,"6,888",9,15,2018,경인로20가길 68,202411~202701,갱신,-,"4,788",21,아파트
88,서울특별시 금천구 가산동,139-15,139,15,G밸리페트라힐스,월세,27.52,202412,27,"19,000",30,11,2020,디지털로 207,202501~202701,갱신,-,"19,000",25,아파트
89,서울특별시 구로구 고척동,100-7,100,7,고척아이파크(주상복합),월세,64.93,202412,27,"22,700",50,24,2022,경인로43길 49,202503~202703,갱신,-,"22,700",48,아파트
90,서울특별시 구로구 구로동,256-1,256,1,삼성래미안,월세,56.036,202412,27,"24,000",80,18,2004,디지털로31길 90,202502~202702,신규,-,,,아파트
91,서울특별시 구로구 개봉동,497,497,0,센트레빌레우스1단지,월세,74.9145,202412,27,"25,825",41,11,2020,경인로 302,202503~202703,갱신,-,"25,825",40,아파트
92,서울특별시 구로구 오류동,340,340,0,삼천리,전세,59.73,202412,27,"38,000",0,3,1998,경인로8길 75,202502~202702,신규,-,,,아파트
94,서울특별시 금천구 시흥동,1002-1,1002,1,럭키남서울아파트,전세,62.15,202412,27,"24,500",0,4,1981,시흥대로47길 43,202502~202702,신규,-,,,아파트
95,서울특별시 금천구 시흥동,1026,1026,0,남서울힐스테이트,전세,150.72,202412,27,"77,000",0,14,2014,시흥대로 165,202503~202703,신규,-,,,아파트
96,서울특별시 영등포구 여의도동,50,50,0,시범,월세,79.24,202412,27,"2,000",122,3,1971,63로 45,202412~202612,신규,-,,,아파트
97,서울특별시 영등포구 영등포동8가,Jan-76,76,1,삼환,전세,114.7,202412,27,"75,000",0,20,1999,영중로 145,202412~202503,신규,-,,,아파트
98,서울특별시 영등포구 여의도동,21-2,21,2,공작,월세,93.06,202412,27,"20,000",160,4,1976,여의대로6길 17,202502~202702,신규,-,,,아파트
99,서울특별시 영등포구 신길동,4958,4958,0,보라매에스케이뷰,월세,84.98,202412,27,"20,000",235,12,2020,여의대방로35가길 19,202412~202612,갱신,사용,"20,000",230,아파트
102,서울특별시 영등포구 당산동5가,43,43,0,당산센트럴아이파크,월세,59.98,202412,27,"8,840",76,2,2020,영신로 247,-,신규,-,,,아파트
103,서울특별시 영등포구 신길동,4955,4955,0,신길센트럴아이파크,전세,84.98,202412,27,"58,800",0,5,2019,가마산로 426,202503~202703,갱신,사용,"56,000",0,아파트
105,서울특별시 중랑구 면목동,715,715,0,늘푸른동아,전세,59.65,202412,27,"38,000",0,4,2002,동일로 476,202502~202702,신규,-,,,아파트
106,서울특별시 동대문구 답십리동,268-3,268,3,엘림스퀘어3,전세,14.76,202412,27,"15,700",0,13,2020,전농로 45,202502~202702,신규,-,,,아파트
107,서울특별시 중랑구 상봉동,87-43,87,43,청운명가프라임,월세,34.89,202412,27,"12,121",19,10,2020,봉우재로41길 6,202501~202612,갱신,사용,"11,903",17,아파트
108,서울특별시 중랑구 상봉동,102-57,102,57,상봉타워,월세,15.309,202412,27,"13,800",30,6,2019,면목로 490,202502~202702,신규,-,,,아파트
109,서울특별시 중랑구 상봉동,102-97,102,97,대성쉐르빌(102-97),월세,23.13,202412,27,"19,560",3,9,2016,면목로96길 34,202501~202710,갱신,-,"19,280",0,아파트
110,서울특별시 성북구 돈암동,603,603,0,돈암동더샵아파트,월세,84.817,202412,27,"5,000",153,19,2006,아리랑로5길 85,202412~202612,갱신,-,"5,000",145,아파트
111,서울특별시 동대문구 휘경동,372,372,0,휘경SK뷰,전세,59.55,202412,27,"41,500",0,16,2019,휘경로 60,202502~202702,갱신,사용,"39,600",0,아파트
112,서울특별시 동대문구 답십리동,1003,1003,0,래미안위브,전세,140.62,202412,27,"95,000",0,7,2014,답십리로 130,202502~202702,신규,-,,,아파트
113,서울특별시 성북구 돈암동,636,636,0,이수브라운스톤돈암,전세,59.99,202412,27,"40,950",0,3,2004,북악산로 844,202412~202701,갱신,사용,"39,000",0,아파트
114,서울특별시 성북구 동소문동6가,138-1,138,1,하이얀,월세,16.94,202412,27,"3,000",60,7,2013,동소문로17길 18,202502~202702,신규,-,,,아파트
116,서울특별시 중랑구 신내동,479,479,0,중앙하이츠,전세,84.97,202412,27,"39,000",0,7,1996,봉화산로56길 123,202502~202612,갱신,-,"37,000",0,아파트
117,서울특별시 중랑구 신내동,795,795,0,새한,전세,84.4,202412,27,"41,000",0,9,1998,용마산로 616,202502~202702,신규,-,,,아파트
118,서울특별시 중랑구 중화동,450,450,0,한신아파트상가동유치원동(103~109),월세,59.76,202412,27,"20,000",78,18,1998,동일로 752,202412~202612,갱신,사용,"20,000",70,아파트
119,서울특별시 중랑구 망우동,564-5,564,5,삼부,전세,59.8833,202412,27,"52,000",0,18,2021,상봉로 134,202503~202703,신규,-,,,아파트
120,서울특별시 동대문구 이문동,291-35,291,35,이문스카이뷰,전세,25.99,202412,27,"27,000",0,16,2020,이문로 127,202502~202702,신규,-,,,아파트
121,서울특별시 동대문구 답십리동,10-01,10,1,답십리동아(임대),월세,31.77,202412,27,675,17,15,2001,한천로11길 10,-,신규,-,,,아파트
122,서울특별시 동대문구 이문동,225,225,0,대림e-편한세상,전세,59.958,202412,27,"45,000",0,13,2003,한천로63길 10,202412~202612,신규,-,,,아파트
123,서울특별시 중랑구 면목동,494,494,0,용마금호타운,전세,84.9,202412,27,"42,000",0,2,1992,용마산로 348,202501~202701,신규,-,,,아파트
