NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원)
1,서울특별시 광진구 화양동,18-12,18,12,광진청년생활,월세,29.52,202412,26,100,37,17,2024,동일로30길 31,202412~202703,신규,-,,
5,서울특별시 동대문구 전농동,620-4,620,4,청량리 창보 리버리치2,월세,19.74,202412,26,"1,000",90,5,2021,왕산로 192,202412~202512,신규,-,,
9,서울특별시 종로구 숭인동,217-16,217,16,블루카운티 숭인Ⅰ,전세,26.97,202412,26,"23,000",0,5,2020,종로62길 23,202501~202701,신규,-,,
10,서울특별시 종로구 효제동,193-1,193,1,BS타워,월세,19.83,202412,26,"17,000",10,6,2019,종로35길 12,202502~202702,신규,-,,
11,서울특별시 성동구 성수동2가,277-37,277,37,성원상떼뷰오피스텔,전세,24.84,202412,26,"14,200",0,5,2003,아차산로15길 10,202501~202701,갱신,-,"13,800",0
12,서울특별시 용산구 갈월동,101-49,101,49,갈월동 에이트리움,전세,30.97,202412,26,"23,000",0,19,2004,한강대로 259,202503~202703,신규,-,,
14,서울특별시 중랑구 망우동,508-33,508,33,YMS CITY,전세,18.87,202412,26,"19,200",0,9,2022,망우로58길 45,202502~202702,신규,-,,
15,서울특별시 광진구 구의동,199-8,199,8,(199-8),전세,27.03,202412,26,"22,584",0,9,2017,아차산로 480,202501~202601,신규,-,,
16,서울특별시 동대문구 휘경동,322-2,322,2,회기역 더이스트팰리스,월세,20.36,202412,26,"3,000",100,15,2020,이문로 34,202501~202601,신규,-,,
17,서울특별시 성북구 동선동4가,295-4,295,4,벨라미아 오피스텔,월세,21.77,202412,26,"12,600",16,12,2011,동소문로27길 31,202502~202702,갱신,-,"13,200",10
18,서울특별시 동대문구 장안동,384-1,384,1,공감대6차,월세,29.52,202412,26,"3,000",50,4,2005,답십리로68길 31,202501~202701,신규,-,,
19,서울특별시 성동구 도선동,53,53,0,한성아펠타워,월세,23.58,202412,26,"5,000",75,6,2017, ,202502~202602,신규,-,,
20,서울특별시 마포구 성산동,593-1,593,1,벽산상암스마트큐브,월세,19.2,202412,26,"14,000",23,15,2017,월드컵로34길 14,202502~202702,신규,-,,
21,서울특별시 마포구 성산동,593-6,593,6,헤리티지 삼영,전세,21.23,202412,26,"25,000",0,12,2024,모래내로1길 8,202502~202702,신규,-,,
22,서울특별시 강서구 화곡동,1111-4,1111,4,포유,전세,17.92,202412,26,"14,300",0,5,2018,화곡로 342,202501~202701,갱신,-,"14,300",0
23,서울특별시 서대문구 대현동,104-5,104,5,신촌푸르지오시티,월세,26.75,202412,26,"19,800",10,21,2014,신촌역로 7,202502~202702,신규,-,,
24,서울특별시 서대문구 대현동,56-34,56,34,파크준,전세,18.23,202412,26,"18,900",0,4,2021,이화여대3길 14,202502~202702,신규,-,,
25,서울특별시 강서구 염창동,283-2,283,2,팔레시움,월세,18.14,202412,26,500,58,5,2012,공항대로 653-9,202501~202601,신규,-,,
26,서울특별시 양천구 신정동,318-6,318,6,동문비젼오피스텔,전세,41.4,202412,26,"18,000",0,7,1999,목동서로 287,202412~202612,신규,-,,
27,서울특별시 마포구 공덕동,111-106,111,106,블레스하임 3차,전세,23.25,202412,26,"28,500",0,11,2022,만리재로 90,202502~202702,신규,-,,
28,서울특별시 강서구 등촌동,847,847,0,호성스카이오피스텔,전세,26.79,202412,26,"19,950",0,8,2020,양천로 396,202502~202702,신규,-,,
29,서울특별시 강서구 등촌동,633-24,633,24,등촌동 Y HAUS 오피스텔,월세,29.07,202412,26,"3,700",72,3,2020,공항대로59다길 39,202501~202601,신규,-,,
30,서울특별시 영등포구 신길동,98-15,98,15,H.Y. 빌딩,월세,17.26,202412,26,"1,000",68,9,2014,영등포로 363,202501~202512,신규,-,,
31,서울특별시 영등포구 양평동5가,Mar-71,71,3,라이즈,전세,14.66,202412,26,"24,000",0,5,2024,양평로22가길 8,202501~202701,신규,-,,
33,서울특별시 강남구 개포동,13-3,13,3,대청타워,월세,34.39,202412,26,"18,900",15,16,1997,개포로 623,202501~202701,신규,-,,
34,서울특별시 영등포구 양평동2가,06-01,6,1,우남프르미아 오피스텔,월세,57.7,202412,26,"30,000",10,9,2005,영등포로 32,202501~202701,신규,-,,
36,서울특별시 서초구 서초동,1337-14,1337,14,이즈타워,월세,31.33,202412,26,"20,000",40,10,2006,사임당로 178,202501~202701,신규,-,,
37,서울특별시 영등포구 당산동,121-61,121,61,여의도 아리스타,월세,20.04,202412,26,"20,000",10,12,2021,버드나루로 129,202502~202702,신규,-,,
39,서울특별시 서초구 서초동,1601-7,1601,7,더 칸톤 서초,월세,46.94,202412,26,"3,000",255,11,2024,효령로55길 10,202501~202601,신규,-,,
40,서울특별시 영등포구 당산동6가,01-03,1,3,위더스하임,월세,27.59,202412,26,"3,000",120,4,2019,양평로 4,202501~202701,신규,-,,
41,서울특별시 강동구 명일동,Feb-46,46,2,고덕역 효성해링턴 타워 더퍼스트,전세,19.51,202412,26,"17,000",0,10,2020,고덕로 262,202502~202702,신규,-,,
42,서울특별시 강동구 천호동,167-97,167,97,다성 이즈빌,월세,29.61,202412,26,"20,000",90,3,2017,성안로27길 57-18,202501~202701,신규,-,,
43,서울특별시 강동구 천호동,166-107,166,107,천호동 오피스텔,전세,33.42,202412,26,"14,200",0,2,2003,천호대로163길 29-11,202502~202702,신규,-,,
46,서울특별시 송파구 방이동,Nov-49,49,11,한 스위트 올림픽파크,전세,15.98,202412,26,"17,100",0,11,2020,백제고분로51길 9,202502~202702,갱신,-,"16,800",0
47,서울특별시 송파구 방이동,Jan-41,41,1,잠실파크웨이,월세,39.48,202412,26,"2,000",150,17,2019,올림픽로34길 5-23,202502~202602,신규,-,,
48,서울특별시 송파구 방이동,Oct-50,50,10,동광팰리스,전세,32.7,202412,26,"29,000",0,8,2018,오금로11길 63-13,202502~202702,신규,-,,
49,서울특별시 강동구 길동,457-4,457,4,거산 유팰리스,월세,29.64,202412,26,"26,000",20,17,2020,천호대로 1131,202501~202601,갱신,-,"30,000",0
50,서울특별시 송파구 방이동,Aug-41,41,8,잠실 벨솔레 오피스텔,월세,29.33,202412,26,"3,000",92,6,2020,올림픽로34길 5-13,202501~202601,갱신,-,"3,000",87
51,서울특별시 금천구 독산동,1004-12,1004,12,THE PALACE80,전세,25.57,202412,26,"27,500",0,6,2024,벚꽃로12길 5,202502~202702,신규,-,,
52,서울특별시 영등포구 영등포동2가,328-11,328,11,여의도 미르웰 한올림 2차 오피스텔,월세,14.53,202412,26,"3,700",55,7,2018,영등포로 247,202412~202512,신규,-,,
54,서울특별시 구로구 구로동,Dec-98,98,12,파인마루오피스텔,월세,20.3,202412,26,"1,000",60,4,2016,구로중앙로18길 17,202412~202512,갱신,-,"1,000",60
56,서울특별시 강서구 마곡동,776,776,0,마곡 파크뷰 대방디엠시티 오피스텔,전세,21.25,202412,26,"16,700",0,10,2019,마곡동로10길 23,202502~202702,신규,-,,
57,서울특별시 강서구 마곡동,776-2,776,2,마곡센트럴대방디엠시티오피스텔,전세,39.97,202412,26,"34,000",0,13,2017,양천로 344,202501~202701,신규,-,,
58,서울특별시 영등포구 영등포동2가,332-3,332,3,밀레니엄시티,월세,31.06,202412,26,"3,000",105,7,2018,영등포로 249,202501~202601,신규,-,,
59,서울특별시 구로구 구로동,651-2,651,2,퀸즈파크 구일,월세,17.36,202412,26,"1,000",65,4,2019,구일로 130,202412~202512,신규,-,,
60,서울특별시 구로구 구로동,103-6,103,6,구로 오네뜨 시티,전세,21.39,202412,26,"15,500",0,10,2022,가마산로 271,202502~202702,신규,-,,
61,서울특별시 금천구 독산동,1156,1156,0,금천 롯데캐슬 골드파크 4차,전세,33.68,202412,26,"27,000",0,29,2019,시흥대로 315,202412~202612,신규,-,,
62,서울특별시 금천구 시흥동,113-6,113,6,제이에스 245,월세,21.91,202412,25,"16,000",14,3,2023,시흥대로77길 24-5,202502~202702,신규,-,,
63,서울특별시 영등포구 양평동2가,Mar-37,37,3,오목교투웨니퍼스트,전세,28.63,202412,25,"27,000",0,4,2017,선유서로25길 19,202501~202701,신규,-,,
64,서울특별시 송파구 잠실동,176,176,0,잠실 포레디움,전세,27.07,202412,25,"22,550",0,5,2019,올림픽로8길 4-11,202502~202702,신규,-,,
65,서울특별시 동대문구 장안동,295-1,295,1,두리빌딩,전세,36.08,202412,25,"15,000",0,5,2009,장한로27길 29,202501~202701,신규,-,,
66,서울특별시 성동구 도선동,2,2,0,왕십리역 요진 와이하우스,전세,29.28,202412,25,"30,000",0,10,2022,고산자로 277,202412~202512,갱신,-,"30,000",0
