NO,시군구,단지명,도로명,위도,경도,bus_count_300m,CCTV 300m 카메라 대수,300m 학교 수,반경 300m 가로등 개수,,bus_count_500m,CCTV 카메라 대수,500m 학교 수,반경 500m 가로등 개수
1,서울특별시 광진구 화양동,광진청년생활,동일로30길 31,37.54767784,127.0690852,7,54,0,0,,10,208,1,7
5,서울특별시 동대문구 전농동,청량리 창보 리버리치2,왕산로 192,37.57958111,127.0446124,7,88,0,0,,14,220,6,0
9,서울특별시 종로구 숭인동,블루카운티 숭인Ⅰ,종로62길 23,37.57284261,127.0196495,3,83,73,0,,5,256,107,0
10,서울특별시 종로구 효제동,BS타워,종로35길 12,37.57175793,127.0040863,5,50,1,0,,12,148,1,0
11,서울특별시 성동구 성수동2가,성원상떼뷰오피스텔,아차산로15길 10,37.54369647,127.0625162,3,55,1,0,,6,178,1,0
12,서울특별시 용산구 갈월동,갈월동 에이트리움,한강대로 259,37.54151272,126.972453,6,80,0,0,,14,289,6,0
14,서울특별시 중랑구 망우동,YMS CITY,망우로58길 45,37.5962401,127.0942358,5,122,0,0,,14,265,5,2
15,서울특별시 광진구 구의동,(199-8),아차산로 480,37.54045643,127.0952325,5,21,0,10,,16,65,3,56
16,서울특별시 동대문구 휘경동,회기역 더이스트팰리스,이문로 34,37.59041402,127.0565902,2,124,1,0,,7,309,16,26
17,서울특별시 성북구 동선동4가,벨라미아 오피스텔,동소문로27길 31,37.59572075,127.019985,2,104,21,0,,6,249,21,0
18,서울특별시 동대문구 장안동,공감대6차,답십리로68길 31,37.57119456,127.0697296,0,76,0,0,,2,208,1,0
19,서울특별시 성동구 도선동,한성아펠타워, ,37.56250806,127.034067,2,181,0,12,,6,455,1,24
20,서울특별시 마포구 성산동,벽산상암스마트큐브,월드컵로34길 14,37.56507595,126.9039109,5,35,1,26,,7,132,2,73
21,서울특별시 마포구 성산동,헤리티지 삼영,모래내로1길 8,37.56472675,126.9041619,5,47,1,30,,7,127,3,71
22,서울특별시 강서구 화곡동,포유,화곡로 342,37.55402986,126.8517152,3,66,0,0,,9,150,21,0
23,서울특별시 서대문구 대현동,신촌푸르지오시티,신촌역로 7,37.55742306,126.9425698,8,139,0,0,,16,301,4,0
24,서울특별시 서대문구 대현동,파크준,이화여대3길 14,37.55808698,126.9449778,7,91,1,0,,12,257,2,0
25,서울특별시 강서구 염창동,팔레시움,공항대로 653-9,37.54780804,126.8775018,4,123,0,25,,6,351,0,85
26,서울특별시 양천구 신정동,동문비젼오피스텔,목동서로 287,37.5215244,126.8690876,4,129,2,6,,13,432,7,19
27,서울특별시 마포구 공덕동,블레스하임 3차,만리재로 90,37.54813028,126.9593345,0,119,0,0,,2,309,8,0
28,서울특별시 강서구 등촌동,호성스카이오피스텔,양천로 396,37.56577136,126.8455906,4,16,1,0,,12,67,14,0
29,서울특별시 강서구 등촌동,등촌동 Y HAUS 오피스텔,공항대로59다길 39,37.55337421,126.8658766,3,49,1,0,,10,152,3,0
30,서울특별시 영등포구 신길동,H.Y. 빌딩,영등포로 363,37.51455752,126.9187877,4,106,5,0,,7,285,16,108
31,서울특별시 영등포구 양평동5가,라이즈,양평로22가길 8,37.53882225,126.8935382,4,72,1,0,,6,146,10,87
33,서울특별시 강남구 개포동,대청타워,개포로 623,37.49434798,127.0796159,1,63,6,0,,3,172,7,0
34,서울특별시 영등포구 양평동2가,우남프르미아 오피스텔,영등포로 32,37.52280582,126.8848349,3,75,5,0,,4,185,6,15
36,서울특별시 서초구 서초동,이즈타워,사임당로 178,37.49213357,127.0291016,11,81,0,0,,23,206,12,0
37,서울특별시 영등포구 당산동,여의도 아리스타,버드나루로 129,37.52964089,126.9072382,2,51,2,29,,9,148,2,140
39,서울특별시 서초구 서초동,더 칸톤 서초,효령로55길 10,37.48521056,127.0146552,8,78,0,0,,15,196,1,0
40,서울특별시 영등포구 당산동6가,위더스하임,양평로 4,37.53228696,126.9056503,4,78,1,16,,10,157,1,131
41,서울특별시 강동구 명일동,고덕역 효성해링턴 타워 더퍼스트,고덕로 262,37.5546409,127.1546232,2,25,0,0,,4,67,4,0
42,서울특별시 강동구 천호동,다성 이즈빌,성안로27길 57-18,37.53939439,127.132545,0,141,0,0,,9,322,0,0
43,서울특별시 강동구 천호동,천호동 오피스텔,천호대로163길 29-11,37.5383377,127.1308382,3,114,0,0,,12,285,0,0
46,서울특별시 송파구 방이동,한 스위트 올림픽파크,백제고분로51길 9,37.51606212,127.1142911,5,39,0,0,,10,121,0,0
47,서울특별시 송파구 방이동,잠실파크웨이,올림픽로34길 5-23,37.51659865,127.1116685,6,56,0,0,,10,127,0,0
48,서울특별시 송파구 방이동,동광팰리스,오금로11길 63-13,37.51549563,127.1145108,4,47,0,0,,10,127,0,0
49,서울특별시 강동구 길동,거산 유팰리스,천호대로 1131,37.53478096,127.1372341,5,66,0,0,,13,248,0,0
50,서울특별시 송파구 방이동,잠실 벨솔레 오피스텔,올림픽로34길 5-13,37.51628693,127.1111663,5,66,0,0,,11,127,0,0
51,서울특별시 금천구 독산동,THE PALACE80,벚꽃로12길 5,37.4650453,126.8906697,1,63,1,0,,4,134,1,0
52,서울특별시 영등포구 영등포동2가,여의도 미르웰 한올림 2차 오피스텔,영등포로 247,37.51949642,126.9090868,6,112,0,9,,15,256,0,98
54,서울특별시 구로구 구로동,파인마루오피스텔,구로중앙로18길 17,37.49522048,126.8902204,6,209,3,0,,8,470,10,0
56,서울특별시 강서구 마곡동,마곡 파크뷰 대방디엠시티 오피스텔,마곡동로10길 23,37.56860121,126.8393753,3,40,1,0,,8,100,1,0
57,서울특별시 강서구 마곡동,마곡센트럴대방디엠시티오피스텔,양천로 344,37.56830026,126.8402972,3,46,1,0,,9,100,2,0
58,서울특별시 영등포구 영등포동2가,밀레니엄시티,영등포로 249,37.51929751,126.9091361,6,112,0,11,,15,259,0,99
59,서울특별시 구로구 구로동,퀸즈파크 구일,구일로 130,37.49658922,126.8721445,0,53,1,10,,2,128,6,46
60,서울특별시 구로구 구로동,구로 오네뜨 시티,가마산로 271,37.49644645,126.8902871,6,188,7,0,,7,420,10,0
61,서울특별시 금천구 독산동,금천 롯데캐슬 골드파크 4차,시흥대로 315,37.46105564,126.8968013,3,45,0,0,,10,249,1,0
62,서울특별시 금천구 시흥동,제이에스 245,시흥대로77길 24-5,37.45834599,126.8973729,6,61,1,0,,13,219,1,0
63,서울특별시 영등포구 양평동2가,오목교투웨니퍼스트,선유서로25길 19,37.52432339,126.8837471,2,71,4,7,,4,154,5,23
64,서울특별시 송파구 잠실동,잠실 포레디움,올림픽로8길 4-11,37.51120019,127.0792344,2,38,0,0,,4,105,4,0
65,서울특별시 동대문구 장안동,두리빌딩,장한로27길 29,37.57300302,127.0699072,0,87,0,0,,2,240,0,0
