NO,단지명,도로명,지번주소,위도,경도,매물 ID,CCTV 카메라 대수
0,광진청년생활,동일로30길 31,서울특별시 광진구 화양동 18-12,37.54767784,127.0690852,0,208
1,청량리 창보 리버리치2,왕산로 192,서울특별시 동대문구 전농동 620-4,37.57958111,127.0446124,1,220
2,블루카운티 숭인Ⅰ,종로62길 23,서울특별시 종로구 숭인동 217-16,37.57284261,127.0196495,2,256
3,BS타워,종로35길 12,서울특별시 종로구 효제동 193-1,37.57175793,127.0040863,3,148
4,성원상떼뷰오피스텔,아차산로15길 10,서울특별시 성동구 성수동2가 277-37,37.54369647,127.0625162,4,178
5,갈월동 에이트리움,한강대로 259,서울특별시 용산구 갈월동 101-49,37.54151272,126.972453,5,289
6,YMS CITY,망우로58길 45,서울특별시 중랑구 망우동 508-33,37.5962401,127.0942358,6,265
7,(199-8),아차산로 480,서울특별시 광진구 구의동 199-8,37.54045643,127.0952325,7,65
8,회기역 더이스트팰리스,이문로 34,서울특별시 동대문구 휘경동 322-2,37.59041402,127.0565902,8,309
9,벨라미아 오피스텔,동소문로27길 31,서울특별시 성북구 동선동4가 295-4,37.59572075,127.019985,9,249
10,공감대6차,답십리로68길 31,서울특별시 동대문구 장안동 384-1,37.57119456,127.0697296,10,208
11,한성아펠타워, ,서울특별시 성동구 도선동 53-0,37.56250806,127.034067,11,455
12,벽산상암스마트큐브,월드컵로34길 14,서울특별시 마포구 성산동 593-1,37.56507595,126.9039109,12,132
13,헤리티지 삼영,모래내로1길 8,서울특별시 마포구 성산동 593-6,37.56472675,126.9041619,13,127
14,포유,화곡로 342,서울특별시 강서구 화곡동 1111-4,37.55402986,126.8517152,14,150
15,신촌푸르지오시티,신촌역로 7,서울특별시 서대문구 대현동 104-5,37.55742306,126.9425698,15,301
16,파크준,이화여대3길 14,서울특별시 서대문구 대현동 56-34,37.55808698,126.9449778,16,257
17,팔레시움,공항대로 653-9,서울특별시 강서구 염창동 283-2,37.54780804,126.8775018,17,351
18,동문비젼오피스텔,목동서로 287,서울특별시 양천구 신정동 318-6,37.5215244,126.8690876,18,432
19,블레스하임 3차,만리재로 90,서울특별시 마포구 공덕동 111-106,37.54813028,126.9593345,19,309
20,호성스카이오피스텔,양천로 396,서울특별시 강서구 등촌동 847-0,37.56577136,126.8455906,20,67
21,등촌동 Y HAUS 오피스텔,공항대로59다길 39,서울특별시 강서구 등촌동 633-24,37.55337421,126.8658766,21,152
22,H.Y. 빌딩,영등포로 363,서울특별시 영등포구 신길동 98-15,37.51455752,126.9187877,22,285
23,라이즈,양평로22가길 8,서울특별시 영등포구 양평동5가 71-3,37.53882225,126.8935382,23,146
24,대청타워,개포로 623,서울특별시 강남구 개포동 13-3,37.49434798,127.0796159,24,172
25,우남프르미아 오피스텔,영등포로 32,서울특별시 영등포구 양평동2가 6-1,37.52280582,126.8848349,25,185
26,이즈타워,사임당로 178,서울특별시 서초구 서초동 1337-14,37.49213357,127.0291016,26,206
27,여의도 아리스타,버드나루로 129,서울특별시 영등포구 당산동 121-61,37.52964089,126.9072382,27,148
28,더 칸톤 서초,효령로55길 10,서울특별시 서초구 서초동 1601-7,37.48521056,127.0146552,28,196
29,위더스하임,양평로 4,서울특별시 영등포구 당산동6가 1-3,37.53228696,126.9056503,29,157
30,고덕역 효성해링턴 타워 더퍼스트,고덕로 262,서울특별시 강동구 명일동 46-2,37.5546409,127.1546232,30,67
31,다성 이즈빌,성안로27길 57-18,서울특별시 강동구 천호동 167-97,37.53939439,127.132545,31,322
32,천호동 오피스텔,천호대로163길 29-11,서울특별시 강동구 천호동 166-107,37.5383377,127.1308382,32,285
33,한 스위트 올림픽파크,백제고분로51길 9,서울특별시 송파구 방이동 49-11,37.51606212,127.1142911,33,121
34,잠실파크웨이,올림픽로34길 5-23,서울특별시 송파구 방이동 41-1,37.51659865,127.1116685,34,127
35,동광팰리스,오금로11길 63-13,서울특별시 송파구 방이동 50-10,37.51549563,127.1145108,35,127
36,거산 유팰리스,천호대로 1131,서울특별시 강동구 길동 457-4,37.53478096,127.1372341,36,248
37,잠실 벨솔레 오피스텔,올림픽로34길 5-13,서울특별시 송파구 방이동 41-8,37.51628693,127.1111663,37,127
38,THE PALACE80,벚꽃로12길 5,서울특별시 금천구 독산동 1004-12,37.4650453,126.8906697,38,134
39,여의도 미르웰 한올림 2차 오피스텔,영등포로 247,서울특별시 영등포구 영등포동2가 328-11,37.51949642,126.9090868,39,256
40,파인마루오피스텔,구로중앙로18길 17,서울특별시 구로구 구로동 98-12,37.49522048,126.8902204,40,470
41,마곡 파크뷰 대방디엠시티 오피스텔,마곡동로10길 23,서울특별시 강서구 마곡동 776-0,37.56860121,126.8393753,41,100
42,마곡센트럴대방디엠시티오피스텔,양천로 344,서울특별시 강서구 마곡동 776-2,37.56830026,126.8402972,42,100
43,밀레니엄시티,영등포로 249,서울특별시 영등포구 영등포동2가 332-3,37.51929751,126.9091361,43,259
44,퀸즈파크 구일,구일로 130,서울특별시 구로구 구로동 651-2,37.49658922,126.8721445,44,128
45,구로 오네뜨 시티,가마산로 271,서울특별시 구로구 구로동 103-6,37.49644645,126.8902871,45,420
46,금천 롯데캐슬 골드파크 4차,시흥대로 315,서울특별시 금천구 독산동 1156-0,37.46105564,126.8968013,46,249
47,제이에스 245,시흥대로77길 24-5,서울특별시 금천구 시흥동 113-6,37.45834599,126.8973729,47,219
48,오목교투웨니퍼스트,선유서로25길 19,서울특별시 영등포구 양평동2가 37-3,37.52432339,126.8837471,48,154
49,잠실 포레디움,올림픽로8길 4-11,서울특별시 송파구 잠실동 176-0,37.51120019,127.0792344,49,105
50,두리빌딩,장한로27길 29,서울특별시 동대문구 장안동 295-1,37.57300302,127.0699072,50,240
51,왕십리역 요진 와이하우스,고산자로 277,서울특별시 성동구 도선동 2-0,37.56445026,127.0358533,51,389
52,로젠하임,망우로 275,서울특별시 중랑구 상봉동 116-17,37.59607996,127.0831313,52,316
53,청계리버팰리스A,난계로17길 48,서울특별시 중구 황학동 2033-0,37.56968749,127.0207425,53,217
54,디크라쎄,이문로 168,서울특별시 동대문구 이문동 255-192,37.60149029,127.0622582,54,181
55,현대썬앤빌 청계,고미술로 71,서울특별시 동대문구 답십리동 530-15,37.56616255,127.055151,55,311
56,다성이즈빌,이문로 197,서울특별시 동대문구 이문동 255-22,37.60409304,127.061814,56,197
57,용산파크뷰II,원효로 125,서울특별시 용산구 원효로3가 130-1,37.53376865,126.9571356,57,411
58,용산파크뷰,원효로 251,서울특별시 용산구 원효로1가 46-3,37.54018926,126.9685662,58,372
59,힐스테이트 청량리역,왕산로 239,서울특별시 동대문구 청량리동 235-6,37.58306489,127.0482674,59,181
60,금강태극빌,아차산로 353,서울특별시 광진구 자양동 779-3,37.53725513,127.0820953,60,75
61,건대입구역자이엘라,능동로 87,서울특별시 광진구 자양동 2-2,37.53912385,127.0696836,61,79
62,케이타워 오피스텔 B,동일로30길 23,서울특별시 광진구 화양동 21-22,37.54768983,127.0686,62,222
63,(1131-12),동일로246길 26,서울특별시 노원구 상계동 1131-12,37.67809571,127.056313,63,117
64,더아모르,장한로24길 35,서울특별시 동대문구 장안동 342-8,37.57045384,127.0727296,64,155
65,동우리즈힐스,천호대로 380-7,서울특별시 성동구 용답동 229-1,37.56159115,127.0612118,65,152
66,한일써너스빌,망우로 346,서울특별시 중랑구 상봉동 81-5,37.59710331,127.0911814,66,283
67,강남투엠캐슬,헌릉로569길 3,서울특별시 강남구 세곡동 586-0,37.46679291,127.1013349,67,135
68,큐브플러스,사임당로 38,서울특별시 서초구 서초동 1598-1,37.48806781,127.0141457,68,208
69,(249-10),백제고분로19길 4-3,서울특별시 송파구 잠실동 249-10,37.50530466,127.0868987,69,191
70,선유도 소미골드Ⅳ,양평로28가길 8,서울특별시 영등포구 양평동6가 9-3,37.54106389,126.8898602,70,129
71,당산빌리지,당산로20길 24,서울특별시 영등포구 당산동1가 223-12,37.52309702,126.8986963,71,209
72,토마토오피스텔,여의대방로 223,서울특별시 영등포구 신길동 1116-0,37.50681224,126.9227257,72,148
73,그린시티,상도로26가길 9,서울특별시 동작구 상도동 183-28,37.50371843,126.938464,73,180
74,JK타워 오피스텔,남부순환로220길 20,서울특별시 관악구 봉천동 868-3,37.48039355,126.9514925,74,304
75,금천빌딩,테헤란로52길 15,서울특별시 강남구 역삼동 708-20,37.50314024,127.0479494,75,218
76,(171-15),버드나루로23길 25,서울특별시 영등포구 당산동 171-15,37.52855482,126.9068818,76,149
77,선유도역 마들렌 오피스텔,양평로21다길 14,서울특별시 영등포구 양평동5가 24-1,37.53725451,126.8919568,77,127
78,해라톤,당산로33길 21,서울특별시 영등포구 당산동3가 395-12,37.527604,126.8947727,78,194
79,신도림 명남 더블레스,구로중앙로28다길 12,서울특별시 구로구 구로동 110-7,37.50109185,126.8891167,79,331
80,힐스테이트에코 마곡나루역 라마다앙코르 서울마곡,마곡중앙로 161-11,서울특별시 강서구 마곡동 760-1,37.56793668,126.8267322,80,67
81,칸타빌레 9차,경인로 232,서울특별시 구로구 오류동 33-40,37.49698565,126.8464871,81,266
82,동우오피스텔,범안로17길 55,서울특별시 금천구 독산동 330-7,37.46895736,126.8933821,82,233
83,마블힐스,디지털로32가길 104,서울특별시 구로구 구로동 1129-51,37.47944996,126.8960963,83,255
84,WD스퀘어,영중로4길 9,서울특별시 영등포구 영등포동3가 20-0,37.51747308,126.9072895,84,292
85,여의도리슈빌DS,신길로 287,서울특별시 영등포구 영등포동1가 121-5,37.51720572,126.9117101,85,302
86,명남더블레스,경인로108길 6,서울특별시 영등포구 영등포동1가 121-3,37.51717135,126.9109384,86,302
87,신한헤스티아,경인로108길 4,서울특별시 영등포구 영등포동1가 127-0,37.51714382,126.9106332,87,303
88,마곡시티오피스텔,마곡서로 170,서울특별시 강서구 마곡동 758-0,37.56928905,126.8256102,88,84
89,경인에버빌,연서로26길 3-8,서울특별시 은평구 대조동 197-16,37.61747496,126.9204167,89,334
90,유원더블레스,화곡로66길 87,서울특별시 강서구 등촌동 637-27,37.55656451,126.8582882,90,100
91,연우넥스트파크뷰,화곡로 354-5,서울특별시 강서구 화곡동 1110-0,37.55485363,126.8526343,91,145
92,에스테반 오피스텔,만리재로7길 2-3,서울특별시 마포구 공덕동 16-10,37.54904295,126.9594631,92,327
93,The Forest (화곡Ⅱ),화곡로42나길 14-12,서울특별시 강서구 화곡동 24-72,37.5468166,126.8469367,93,261
94,플래티노,양천로49길 34,서울특별시 강서구 가양동 187-7,37.57019417,126.8409104,94,100
95,어바니엘,공항대로 630,서울특별시 양천구 목동 514-18,37.54666809,126.8748282,95,573
96,제이클래스목동주상복합,오목로 147,서울특별시 양천구 신정동 922-1,37.52497638,126.8536322,96,951
97,마곡보타닉투웨니퍼스트,양천로47길 12,서울특별시 강서구 가양동 257-1,37.57102139,126.8383337,97,90
98,강동 와이시티,천호대로175길 42,서울특별시 강동구 길동 414-4,37.53649036,127.1374465,98,250
99,에스아이팰리스,진황도로27길 23,서울특별시 강동구 천호동 167-73,37.53948474,127.1318301,99,317
100,비바체,올림픽로62길 29,서울특별시 강동구 성내동 43-6,37.53656848,127.1245204,100,288
101,힐스테이트에코송파,정의로7길 13,서울특별시 송파구 문정동 639-5,37.4852529,127.1148086,101,37
102,잠실 에스뜨레야90,백제고분로51길 23,서울특별시 송파구 방이동 46-6,37.51650301,127.1128505,102,122
103,문정 오벨리스크,송파대로 145,서울특별시 송파구 문정동 652-2,37.48338884,127.1230971,103,105
104,휴먼빌 시티,위례송파로3길 12,서울특별시 송파구 거여동 605-0,37.48632563,127.1428325,104,70
105,이스턴잠실,오금로11길 43-16,서울특별시 송파구 방이동 46-1,37.51637627,127.112536,105,129
106,다성 이즈빌,천중로42길 68,서울특별시 강동구 길동 387-4,37.53816168,127.1384002,106,260
107,성희파크빌,백제고분로 507,서울특별시 송파구 방이동 51-10,37.51567366,127.1150753,107,116
108,골드리버,시흥대로61길 16,서울특별시 금천구 시흥동 995-8,37.45400448,126.8997077,108,251
109,여의도의아침,경인로114길 12,서울특별시 영등포구 영등포동1가 29-0,37.51832141,126.9143766,109,175
110,칸타빌레 8차,경인로20나길 12,서울특별시 구로구 오류동 48-2,37.49521236,126.8431774,110,354
111,마곡 헤리움1차,마곡서1로 115-1,서울특별시 강서구 마곡동 739-4,37.56668754,126.8185692,111,114
112,마곡일성트루엘플래닛,마곡중앙로 161-22,서울특별시 강서구 마곡동 758-2,37.56865456,126.8257875,112,78
113,유림트윈파크,강서로 419,서울특별시 강서구 마곡동 793-0,37.56295165,126.8392083,113,72
114,세교예지안 7차,가산로3가길 6,서울특별시 금천구 가산동 237-50,37.47263278,126.8901567,114,151
115,가산대명벨리온,가산디지털2로 127-33,서울특별시 금천구 가산동 776-0,37.47842008,126.8777948,115,40
116,몽삐에뜨로즈,공원로8길 30-12,서울특별시 구로구 구로동 44-2,37.50287715,126.8911118,116,256
117,영등포 오피스텔,버드나루로7길 11,서울특별시 영등포구 영등포동2가 29-58,37.5227151,126.9097084,117,208
118,고척동 헤리움 더원,중앙로 18,서울특별시 구로구 고척동 76-14,37.49960499,126.8647179,118,192
119,리안펠리체,영중로 114-8,서울특별시 영등포구 영등포동8가 45-8,37.52644752,126.9060463,119,181
120,지에스 한강에클라트,이촌로 1,서울특별시 용산구 한강로3가 16-85,37.53153405,126.9555998,120,274
121,신당 큐브스테이트,마장로 110,서울특별시 중구 황학동 1173-0,37.56782451,127.0217474,121,248
122,-1392,난계로29가길 17,서울특별시 종로구 숭인동 1392-0,37.57371647,127.0227199,122,228
123,에이플러스 청량,왕산로 297,서울특별시 동대문구 청량리동 2-6,37.58706182,127.0522146,123,236
124,(339-4),두텁바위로58길 7,서울특별시 용산구 후암동 339-4,37.55011191,126.9821105,124,424
125,제네스타워,덕릉로 82,서울특별시 강북구 수유동 48-1,37.63442111,127.022863,125,301
126,한일노벨리아,천호대로 289,서울특별시 동대문구 답십리동 494-1,37.56690033,127.053286,126,268
127,성진빌딩,겸재로44길 21,서울특별시 중랑구 면목동 105-43,37.58841282,127.0893877,127,399
128,YG FOREST,왕십리로8길 6,서울특별시 성동구 성수동1가 656-449,37.54619205,127.0453734,128,262
129,노원역 보미더클래스 오피스텔,상계로 32,서울특별시 노원구 상계동 706-2,37.65506089,127.0587126,129,93
130,브라운홈스,보문로 78,서울특별시 성북구 보문동4가 77-2,37.58233367,127.021284,130,272
131,충무로엘크루메트로시티2,퇴계로49길 14,서울특별시 중구 충무로5가 36-2,37.56338352,127.0000016,131,262
132,양우 내안애 애플,장한로 99,서울특별시 동대문구 장안동 373-1,37.56975522,127.0697305,132,190
133,빌리원,이문로 42-1,서울특별시 동대문구 휘경동 183-245,37.59122346,127.0569834,133,295
134,오피스55,휘경로 5-5,서울특별시 동대문구 이문동 288-28,37.59650566,127.0610385,134,194
135,(608-78),도봉로104길 111-7,서울특별시 도봉구 창동 608-78,37.64442717,127.0379049,135,0
136,성동 트레비스타 오피스텔,왕십리로 332,서울특별시 성동구 도선동 256-5,37.56301863,127.0331893,136,461
137,답십리한화오벨리스크,천호대로 319,서울특별시 동대문구 답십리동 492-4,37.56482324,127.0560773,137,325
138,북한산 드림시티,도봉로110마길 42,서울특별시 도봉구 창동 623-48,37.64434013,127.0362265,138,5
139,휘경동 코업레지던스,회기로28길 7,서울특별시 동대문구 휘경동 319-5,37.58955633,127.0564648,139,303
140,케렌시아청계,난계로17길 40,서울특별시 중구 황학동 1749-0,37.56962435,127.0211741,140,229
141,리센스,망우로 29,서울특별시 동대문구 휘경동 317-11,37.58872592,127.0567772,141,283
142,아크로텔 강남역,효령로77길 34,서울특별시 서초구 서초동 1337-2,37.49195281,127.0288102,142,209
143,강남역파라디아골드,효령로79길 1,서울특별시 서초구 서초동 1338-8,37.48990898,127.030204,143,232
144,사당아트오피스텔,승방6길 26,서울특별시 관악구 남현동 602-47,37.47475307,126.9802761,144,324
145,G밸리소홈,도림천로19길 11,서울특별시 영등포구 대림동 1101-7,37.48659127,126.9001828,145,352
146,명문타워,청룡3길 17,서울특별시 관악구 봉천동 895-2,37.480825,126.9472072,146,332
147,스테이트 디 어반문래,문래북로 58-8,서울특별시 영등포구 문래동3가 82-16,37.52036287,126.891438,147,183
148,신라스테이해링턴타워,시흥대로 596,서울특별시 동작구 신대방동 698-0,37.48557939,126.9044762,148,343
149,콘펠리체,영등포로 402,서울특별시 영등포구 신길동 449-20,37.51297645,126.9227083,149,248
150,강남역 서희스타힐스 오피스텔,도곡로3길 19,서울특별시 강남구 역삼동 837-18,37.49137331,127.0325245,150,284
151,한산 오피스텔,버드나루로 142,서울특별시 영등포구 당산동 121-44,37.5308974,126.9073194,151,129
152,노량진 드림스퀘어 복합빌딩,노들로2길 7,서울특별시 동작구 노량진동 16-1,37.51431662,126.9393933,152,97
153,청화오피스텔,효령로 431,서울특별시 서초구 서초동 1339-7,37.48962396,127.0306739,153,253
154,강남 푸르지오시티 2차(PRUGIO CITYⅡ),자곡로 192,서울특별시 강남구 자곡동 655-0,37.47439362,127.1040666,154,117
155,강남유탑유블레스,자곡로 180,서울특별시 강남구 자곡동 651-0,37.47358821,127.1030375,155,116
156,삼성동 현대위버포레 오피스텔,삼성로95길 9,서울특별시 강남구 삼성동 144-1,37.50786804,127.0548861,156,234
157,서초센트럴IPARK,반포대로18길 36,서울특별시 서초구 서초동 1582-3,37.48698219,127.011546,157,222
158,서초동오피스텔,서초대로73길 54,서울특별시 서초구 서초동 1309-1,37.50204551,127.0240126,158,302
159,(1589-14),효령로53길 21,서울특별시 서초구 서초동 1589-14,37.48551208,127.0135465,159,204
160,거장메카,진흥로 35,서울특별시 은평구 역촌동 42-8,37.60076724,126.9192835,160,308
161,제이투 리더스뷰,곰달래로16길 34,서울특별시 강서구 화곡동 935-2,37.528589,126.8401929,161,672
162,솔리스타,만리재로 113,서울특별시 마포구 공덕동 30-10,37.55028379,126.9604927,162,383
163,아이파크 포레스트 게이트,통일로 1010,서울특별시 은평구 진관동 100-3,37.63277219,126.918576,163,102
164,나눔빌딩,도화길 43,서울특별시 마포구 도화동 571-0,37.54176548,126.9502544,164,191
165,목동블루오피스텔,목동서로 133-3,서울특별시 양천구 목동 905-28,37.53183375,126.87567,165,267
166,아이디움,화곡로64길 28,서울특별시 강서구 등촌동 656-36,37.55686973,126.8546962,166,122
167,상암 두산위브센티움,월드컵로36길 14,서울특별시 마포구 성산동 590-1,37.56595234,126.9030231,167,124
168,은평뉴타운 꿈에그린,진관3로 33,서울특별시 은평구 진관동 66-0,37.63991367,126.919887,168,80
169,갑을명가시티2,만리재로 67,서울특별시 마포구 신공덕동 1-48,37.54705497,126.9573802,169,222
170,(899-23),강서로7길 20-22,서울특별시 강서구 화곡동 899-23,37.53016452,126.845905,170,325
171,"상암DMC푸르지오시티, S-City",월드컵북로54길 25,서울특별시 마포구 상암동 1596-0,37.58196492,126.8892206,171,52
172,상암 우남퍼스트빌스타,모래내로 5,서울특별시 마포구 성산동 592-5,37.56428635,126.9037268,172,122
