NO,시군구,도로명,위도,경도,bus_count
1,서울특별시 광진구 화양동,동일로30길 31,37.5477031478558,127.069100912245,7
5,서울특별시 동대문구 전농동,왕산로 192,37.5795977760066,127.044610134844,7
9,서울특별시 종로구 숭인동,종로62길 23,37.5728440434339,127.019676934141,3
10,서울특별시 종로구 효제동,종로35길 12,37.5717984746063,127.004129353368,5
11,서울특별시 성동구 성수동2가,아차산로15길 10,37.5436962428787,127.062606836404,3
12,서울특별시 용산구 갈월동,한강대로 259,37.5415842490492,126.972412765985,6
14,서울특별시 중랑구 망우동,망우로58길 45,37.5962589310028,127.094239708313,5
15,서울특별시 광진구 구의동,아차산로 480,37.5404545279486,127.095243453597,5
16,서울특별시 동대문구 휘경동,이문로 34,37.590366180605,127.056577777177,2
17,서울특별시 성북구 동선동4가,동소문로27길 31,37.5957235430055,127.019986085485,2
18,서울특별시 동대문구 장안동,답십리로68길 31,37.5710534170736,127.06950304778,0
20,서울특별시 마포구 성산동,월드컵로34길 14,37.5650651601993,126.903940151185,5
21,서울특별시 마포구 성산동,모래내로1길 8,37.564766939793,126.904173247441,5
22,서울특별시 강서구 화곡동,화곡로 342,37.5541250502251,126.851747033493,3
23,서울특별시 서대문구 대현동,신촌역로 7,37.5573527481625,126.942500021232,8
24,서울특별시 서대문구 대현동,이화여대3길 14,37.5581319342,126.944965558143,7
25,서울특별시 강서구 염창동,공항대로 653-9,37.5477992757988,126.877477598749,4
26,서울특별시 양천구 신정동,목동서로 287,37.5215174537183,126.869076255667,4
27,서울특별시 마포구 공덕동,만리재로 90,37.5483131426938,126.959470599452,0
28,서울특별시 강서구 등촌동,양천로 396,37.5657202762574,126.845589450827,4
29,서울특별시 강서구 등촌동,공항대로59다길 39,37.5531586885452,126.865718968456,3
30,서울특별시 영등포구 신길동,영등포로 363,37.514562837386,126.918791878844,4
31,서울특별시 영등포구 양평동5가,양평로22가길 8,37.5387871820428,126.893520795069,4
33,서울특별시 강남구 개포동,개포로 623,37.494341198165,127.079647753194,1
34,서울특별시 영등포구 양평동2가,영등포로 32,37.5227720747174,126.884790255902,3
36,서울특별시 서초구 서초동,사임당로 178,37.4922279155329,127.029056271279,11
37,서울특별시 영등포구 당산동,버드나루로 129,37.5296306828558,126.907200322459,2
39,서울특별시 서초구 서초동,효령로55길 10,37.4852094743801,127.014668789154,8
40,서울특별시 영등포구 당산동6가,양평로 4,37.5323231019629,126.905668374121,4
41,서울특별시 강동구 명일동,고덕로 262,37.5546676606413,127.154622234195,2
42,서울특별시 강동구 천호동,성안로27길 57-18,37.5393694735523,127.132504074328,0
43,서울특별시 강동구 천호동,천호대로163길 29-11,37.5383439318603,127.130828582863,3
46,서울특별시 송파구 방이동,백제고분로51길 9,37.5160877033997,127.114295348456,5
47,서울특별시 송파구 방이동,올림픽로34길 5-23,37.5165606015761,127.111793636499,6
48,서울특별시 송파구 방이동,오금로11길 63-13,37.5154884370529,127.114490798568,4
