NO,시군구,단지명,도로명,위도,경도,bus_count
1,서울특별시 광진구 화양동,광진청년생활,동일로30길 31,37.5476778390111,127.069085159421,7
5,서울특별시 동대문구 전농동,청량리 창보 리버리치2,왕산로 192,37.5795811067678,127.044612389096,7
9,서울특별시 종로구 숭인동,블루카운티 숭인Ⅰ,종로62길 23,37.5728426064049,127.019649539442,3
10,서울특별시 종로구 효제동,BS타워,종로35길 12,37.5717579313215,127.004086335877,5
11,서울특별시 성동구 성수동2가,성원상떼뷰오피스텔,아차산로15길 10,37.5436964710983,127.062516198979,3
12,서울특별시 용산구 갈월동,갈월동 에이트리움,한강대로 259,37.5415127190529,126.972452961403,6
14,서울특별시 중랑구 망우동,YMS CITY,망우로58길 45,37.5962401033822,127.094235834576,5
15,서울특별시 광진구 구의동,(199-8),아차산로 480,37.5404564288976,127.095232480401,5
16,서울특별시 동대문구 휘경동,회기역 더이스트팰리스,이문로 34,37.5904140173562,127.056590155052,2
17,서울특별시 성북구 동선동4가,벨라미아 오피스텔,동소문로27길 31,37.5957207501238,127.019984952394,2
18,서울특별시 동대문구 장안동,공감대6차,답십리로68길 31,37.5711945595214,127.069729573262,0
19,서울특별시 성동구 도선동,한성아펠타워, ,37.5625080587157,127.034067036916,2
20,서울특별시 마포구 성산동,벽산상암스마트큐브,월드컵로34길 14,37.5650759483743,126.903910934859,5
21,서울특별시 마포구 성산동,헤리티지 삼영,모래내로1길 8,37.5647267461385,126.904161867004,5
22,서울특별시 강서구 화곡동,포유,화곡로 342,37.5540298649533,126.851715194625,3
23,서울특별시 서대문구 대현동,신촌푸르지오시티,신촌역로 7,37.5574230599063,126.942569797001,8
24,서울특별시 서대문구 대현동,파크준,이화여대3길 14,37.5580869801553,126.944977814358,7
25,서울특별시 강서구 염창동,팔레시움,공항대로 653-9,37.5478080405923,126.877501801015,4
26,서울특별시 양천구 신정동,동문비젼오피스텔,목동서로 287,37.5215244039609,126.869087555725,4
27,서울특별시 마포구 공덕동,블레스하임 3차,만리재로 90,37.5481302832497,126.959334451064,0
28,서울특별시 강서구 등촌동,호성스카이오피스텔,양천로 396,37.565771364177,126.845590590454,4
29,서울특별시 강서구 등촌동,등촌동 Y HAUS 오피스텔,공항대로59다길 39,37.5533742060337,126.865876567292,3
30,서울특별시 영등포구 신길동,H.Y. 빌딩,영등포로 363,37.5145575185909,126.918787699479,4
31,서울특별시 영등포구 양평동5가,라이즈,양평로22가길 8,37.5388222465999,126.893538170027,4
33,서울특별시 강남구 개포동,대청타워,개포로 623,37.4943479772054,127.079615871531,1
34,서울특별시 영등포구 양평동2가,우남프르미아 오피스텔,영등포로 32,37.522805815727,126.884834887989,3
36,서울특별시 서초구 서초동,이즈타워,사임당로 178,37.4921335689176,127.029101578912,11
37,서울특별시 영등포구 당산동,여의도 아리스타,버드나루로 129,37.5296408939349,126.907238209805,2
39,서울특별시 서초구 서초동,더 칸톤 서초,효령로55길 10,37.4852105572741,127.014655221287,8
40,서울특별시 영등포구 당산동6가,위더스하임,양평로 4,37.5322869574038,126.905650317513,4
41,서울특별시 강동구 명일동,고덕역 효성해링턴 타워 더퍼스트,고덕로 262,37.5546408997715,127.154623197453,2
42,서울특별시 강동구 천호동,다성 이즈빌,성안로27길 57-18,37.5393943853486,127.132544965205,0
43,서울특별시 강동구 천호동,천호동 오피스텔,천호대로163길 29-11,37.5383377043194,127.130838189514,3
46,서울특별시 송파구 방이동,한 스위트 올림픽파크,백제고분로51길 9,37.5160621189964,127.114291124227,5
47,서울특별시 송파구 방이동,잠실파크웨이,올림픽로34길 5-23,37.5165986522052,127.11166847539,6
48,서울특별시 송파구 방이동,동광팰리스,오금로11길 63-13,37.5154956256603,127.114510830541,4
49,서울특별시 강동구 길동,거산 유팰리스,천호대로 1131,37.534780955818,127.137234117859,5
50,서울특별시 송파구 방이동,잠실 벨솔레 오피스텔,올림픽로34길 5-13,37.5162869282622,127.111166349693,5
51,서울특별시 금천구 독산동,THE PALACE80,벚꽃로12길 5,37.4650453034683,126.890669661662,1
52,서울특별시 영등포구 영등포동2가,여의도 미르웰 한올림 2차 오피스텔,영등포로 247,37.5194964173997,126.909086803917,6
54,서울특별시 구로구 구로동,파인마루오피스텔,구로중앙로18길 17,37.4952204802335,126.890220401587,6
56,서울특별시 강서구 마곡동,마곡 파크뷰 대방디엠시티 오피스텔,마곡동로10길 23,37.5686012057916,126.839375312516,3
57,서울특별시 강서구 마곡동,마곡센트럴대방디엠시티오피스텔,양천로 344,37.5683002628802,126.840297234042,3
58,서울특별시 영등포구 영등포동2가,밀레니엄시티,영등포로 249,37.5192975139312,126.909136138754,6
59,서울특별시 구로구 구로동,퀸즈파크 구일,구일로 130,37.4965892190788,126.872144455369,0
60,서울특별시 구로구 구로동,구로 오네뜨 시티,가마산로 271,37.4964464514413,126.89028713605,6
61,서울특별시 금천구 독산동,금천 롯데캐슬 골드파크 4차,시흥대로 315,37.4610556426968,126.896801292984,3
62,서울특별시 금천구 시흥동,제이에스 245,시흥대로77길 24-5,37.4583459867342,126.897372863344,6
63,서울특별시 영등포구 양평동2가,오목교투웨니퍼스트,선유서로25길 19,37.5243233889772,126.883747108723,2
64,서울특별시 송파구 잠실동,잠실 포레디움,올림픽로8길 4-11,37.511200189606,127.079234389048,2
65,서울특별시 동대문구 장안동,두리빌딩,장한로27길 29,37.5730030215999,127.069907172015,0
66,서울특별시 성동구 도선동,왕십리역 요진 와이하우스,고산자로 277,37.5644502581506,127.035853332613,0
67,서울특별시 중랑구 상봉동,로젠하임,망우로 275,37.5960799617292,127.083131258595,2
68,서울특별시 중구 황학동,청계리버팰리스A,난계로17길 48,37.5696874945972,127.020742512867,0
69,서울특별시 동대문구 이문동,디크라쎄,이문로 168,37.6014902935433,127.062258205104,0
70,서울특별시 동대문구 답십리동,현대썬앤빌 청계,고미술로 71,37.5661625518015,127.055151048753,3
71,서울특별시 동대문구 이문동,다성이즈빌,이문로 197,37.6040930374356,127.061813954507,0
72,서울특별시 용산구 원효로3가,용산파크뷰II,원효로 125,37.533768649927,126.957135556363,6
73,서울특별시 용산구 원효로1가,용산파크뷰,원효로 251,37.5401892608214,126.968566170128,8
74,서울특별시 동대문구 청량리동,힐스테이트 청량리역,왕산로 239,37.5830648923496,127.048267354529,4
75,서울특별시 광진구 자양동,금강태극빌,아차산로 353,37.5372551287904,127.082095347008,3
76,서울특별시 광진구 자양동,건대입구역자이엘라,능동로 87,37.5391238503525,127.069683630291,6
77,서울특별시 광진구 화양동,케이타워 오피스텔 B,동일로30길 23,37.5476898348204,127.068600046677,7
78,서울특별시 노원구 상계동,(1131-12),동일로246길 26,37.6780957135136,127.056312982384,9
79,서울특별시 동대문구 장안동,더아모르,장한로24길 35,37.5704538433508,127.0727295965,0
80,서울특별시 성동구 용답동,동우리즈힐스,천호대로 380-7,37.5615911537757,127.061211778168,2
82,서울특별시 중랑구 상봉동,한일써너스빌,망우로 346,37.5971033094494,127.091181352662,6
83,서울특별시 강남구 세곡동,강남투엠캐슬,헌릉로569길 3,37.4667929131636,127.101334884249,4
84,서울특별시 서초구 서초동,큐브플러스,사임당로 38,37.488067806356,127.014145713321,2
87,서울특별시 송파구 잠실동,(249-10),백제고분로19길 4-3,37.5053046624869,127.086898662742,5
88,서울특별시 영등포구 양평동6가,선유도 소미골드Ⅳ,양평로28가길 8,37.541063894157,126.889860159492,0
90,서울특별시 영등포구 당산동1가,당산빌리지,당산로20길 24,37.5230970181295,126.898696254584,3
91,서울특별시 영등포구 신길동,토마토오피스텔,여의대방로 223,37.5068122445965,126.922725745619,3
93,서울특별시 동작구 상도동,그린시티,상도로26가길 9,37.5037184298252,126.938463983778,5
94,서울특별시 관악구 봉천동,JK타워 오피스텔,남부순환로220길 20,37.4803935460397,126.951492484491,8
95,서울특별시 강남구 역삼동,금천빌딩,테헤란로52길 15,37.5031402437958,127.047949405031,3
96,서울특별시 영등포구 당산동,(171-15),버드나루로23길 25,37.5285548167325,126.906881829223,3
98,서울특별시 영등포구 양평동5가,선유도역 마들렌 오피스텔,양평로21다길 14,37.5372545121596,126.891956810164,3
99,서울특별시 영등포구 당산동3가,해라톤,당산로33길 21,37.5276040028634,126.894772651677,5
103,서울특별시 구로구 구로동,신도림 명남 더블레스,구로중앙로28다길 12,37.5010918459923,126.889116743916,0
105,서울특별시 강서구 마곡동,힐스테이트에코 마곡나루역 라마다앙코르 서울마곡,마곡중앙로 161-11,37.5679366832222,126.826732160088,0
107,서울특별시 구로구 오류동,칸타빌레 9차,경인로 232,37.4969856512494,126.846487057826,2
108,서울특별시 금천구 독산동,동우오피스텔,범안로17길 55,37.4689573576278,126.893382078354,2
109,서울특별시 구로구 구로동,마블힐스,디지털로32가길 104,37.479449960817,126.896096293892,4
110,서울특별시 영등포구 영등포동3가,WD스퀘어,영중로4길 9,37.517473079461,126.907289470798,10
112,서울특별시 영등포구 영등포동1가,여의도리슈빌DS,신길로 287,37.5172057151673,126.911710130807,6
113,서울특별시 영등포구 영등포동1가,명남더블레스,경인로108길 6,37.5171713481471,126.910938384282,6
115,서울특별시 영등포구 영등포동1가,신한헤스티아,경인로108길 4,37.5171438172608,126.910633231512,6
116,서울특별시 강서구 마곡동,마곡시티오피스텔,마곡서로 170,37.5692890458886,126.825610216295,0
118,서울특별시 은평구 대조동,경인에버빌,연서로26길 3-8,37.6174749630102,126.920416697389,8
119,서울특별시 강서구 등촌동,유원더블레스,화곡로66길 87,37.5565645125096,126.858288240085,1
120,서울특별시 강서구 화곡동,연우넥스트파크뷰,화곡로 354-5,37.5548536259737,126.852634332756,4
121,서울특별시 마포구 공덕동,에스테반 오피스텔,만리재로7길 2-3,37.549042948995,126.959463074988,0
122,서울특별시 강서구 화곡동,The Forest (화곡Ⅱ),화곡로42나길 14-12,37.546816597373,126.846936696844,3
123,서울특별시 강서구 가양동,플래티노,양천로49길 34,37.5701941706316,126.840910445627,4
124,서울특별시 양천구 목동,어바니엘,공항대로 630,37.5466680867171,126.874828224173,2
126,서울특별시 양천구 신정동,제이클래스목동주상복합,오목로 147,37.5249763803306,126.853632191172,3
127,서울특별시 강서구 가양동,마곡보타닉투웨니퍼스트,양천로47길 12,37.5710213869698,126.838333685168,1
128,서울특별시 강동구 길동,강동 와이시티,천호대로175길 42,37.5364903563795,127.137446454768,7
129,서울특별시 강동구 천호동,에스아이팰리스,진황도로27길 23,37.5394847448639,127.131830135674,2
131,서울특별시 강동구 성내동,비바체,올림픽로62길 29,37.5365684842159,127.124520376783,7
134,서울특별시 송파구 문정동,힐스테이트에코송파,정의로7길 13,37.4852529035785,127.114808606468,0
135,서울특별시 송파구 방이동,잠실 에스뜨레야90,백제고분로51길 23,37.5165030135529,127.112850492141,5
136,서울특별시 송파구 문정동,문정 오벨리스크,송파대로 145,37.4833888426266,127.123097114262,2
137,서울특별시 송파구 거여동,휴먼빌 시티,위례송파로3길 12,37.4863256322328,127.142832460267,4
138,서울특별시 송파구 방이동,이스턴잠실,오금로11길 43-16,37.5163762722061,127.112535956726,6
